Abbreviation,Selected Map,Total_EV,Shift,Shift tooltip,I_Nominee tooltip,blank,D-Check,D_Nominee_prop,Color Bins,Independent spacing,Direction,Spacer,R-Check,D_Percentage,D_DifferencePercentage,D_Difference,D_EV,D_EV_Total,D_Nominee,R_Nominee_prop,D_PopularPercentage,D_Votes,D_Votes_Total,Hex_Column,Hex_Row,I_Percentage,I_EV,I_EV_Total,I_Nominee tooltip ●,I_Nominee tooltip ')',I_Nominee tooltip 'Percentage)',I_Nominee tooltip '(',I_Nominee,I_PopularPercentage,I_Votes,I_Votes_Total,Independent spacing (popular),Info,Last_RD_Difference,Last_Winner,Last_Winner_Percentage,Number of Records,RD_Difference (bin),RD_Difference,R_Percentage,R_DifferencePercentage,R_Difference,R_EV,R_EV_Total,R_Nominee,I_Nominee_prop,R_PopularPercentage,R_Votes,R_Votes_Total,Region,Row,Shift :(l/r),Shift abbreviation,Space,State (red),State (blue),State (yellow),State,State_Winner,Total Votes,Total_Votes_USA,Winner_Percentage,Winning Party,Year
ME,Hex,4,22,% shift to the left,,,ü,Jimmy Carter,F,,Left,0,,48.1,9.6,71695,,297,JIMMY CARTER,Gerald R. Ford,50.1%,232279,40830763,11.5,0,,,,,,,,,,,,,"The United States presidential election of 1976 followed the resignation of President Richard Nixon in the wake of the Watergate scandal. It pitted incumbent President Gerald Ford, the Republican candidate, against the relatively unknown former governor of Georgia, Jimmy Carter, the Democratic candidate. Ford was saddled with a slow economy and paid a political price for his pardon of Nixon. Carter ran as a Washington outsider and reformer and won a narrow victory. He was the first president elected from the Deep South since Zachary Taylor in 1848.",23,R,61.5,1,0,0.800000000,48.9,-12.6,-20138,4,240,GERALD R. FORD, ,48.0%,236320,39147793,Northeast,0,-22.2,0.5,11,Maine,,,Maine,R,483216,81555889,48.9,D,1976
VT,Hex,3,15,% shift to the left,,,ü,Jimmy Carter,G,,Left,0,,43.1,6.6,12780,,297,JIMMY CARTER,Gerald R. Ford,50.1%,80954,40830763,10,1,,,,,,,,,,,,,"The United States presidential election of 1976 followed the resignation of President Richard Nixon in the wake of the Watergate scandal. It pitted incumbent President Gerald Ford, the Republican candidate, against the relatively unknown former governor of Georgia, Jimmy Carter, the Democratic candidate. Ford was saddled with a slow economy and paid a political price for his pardon of Nixon. Carter ran as a Washington outsider and reformer and won a narrow victory. He was the first president elected from the Deep South since Zachary Taylor in 1848.",26.2,R,62.7,1,10,11.3,54.4,-8.3,-15064,3,240,GERALD R. FORD, ,48.0%,102085,39147793,Northeast,1,-14.9,0.5,10,Vermont,,,Vermont,R,187765,81555889,54.4,D,1976
NH,Hex,4,18,% shift to the left,,,ü,Jimmy Carter,G,,Left,0,,43.5,8.6,31200,,297,JIMMY CARTER,Gerald R. Ford,50.1%,147635,40830763,11,1,,,,,,,,,,,,,"The United States presidential election of 1976 followed the resignation of President Richard Nixon in the wake of the Watergate scandal. It pitted incumbent President Gerald Ford, the Republican candidate, against the relatively unknown former governor of Georgia, Jimmy Carter, the Democratic candidate. Ford was saddled with a slow economy and paid a political price for his pardon of Nixon. Carter ran as a Washington outsider and reformer and won a narrow victory. He was the first president elected from the Deep South since Zachary Taylor in 1848.",29.1,R,64,1,10,11.2,54.7,-9.3,-27789,4,240,GERALD R. FORD, ,48.0%,185935,39147793,Northeast,1,-17.9,0.5,11,New Hampshire,,,New Hampshire,R,339618,81555889,54.7,D,1976
NJ,Hex,17,23,% shift to the left,,,ü,Jimmy Carter,F,,Left,0,,47.9,11.1,342442,,297,JIMMY CARTER,Gerald R. Ford,50.1%,1444653,40830763,10,3,,,,,,,,,,,,,"The United States presidential election of 1976 followed the resignation of President Richard Nixon in the wake of the Watergate scandal. It pitted incumbent President Gerald Ford, the Republican candidate, against the relatively unknown former governor of Georgia, Jimmy Carter, the Democratic candidate. Ford was saddled with a slow economy and paid a political price for his pardon of Nixon. Carter ran as a Washington outsider and reformer and won a narrow victory. He was the first president elected from the Deep South since Zachary Taylor in 1848.",24.8,R,61.6,1,0,2.2,50.1,-11.5,-335814,17,240,GERALD R. FORD, ,48.0%,1509688,39147793,Northeast,3,-22.6,0.5,9,New Jersey,,,New Jersey,R,3014472,81555889,50.1,D,1976
CT,Hex,8,13,% shift to the left,,,ü,Jimmy Carter,F,,Left,0,,46.9,6.8,92397,,297,JIMMY CARTER,Gerald R. Ford,50.1%,647895,40830763,11,3,,,,,,,,,,,,,"The United States presidential election of 1976 followed the resignation of President Richard Nixon in the wake of the Watergate scandal. It pitted incumbent President Gerald Ford, the Republican candidate, against the relatively unknown former governor of Georgia, Jimmy Carter, the Democratic candidate. Ford was saddled with a slow economy and paid a political price for his pardon of Nixon. Carter ran as a Washington outsider and reformer and won a narrow victory. He was the first president elected from the Deep South since Zachary Taylor in 1848.",18.5,R,58.6,1,5,5.2,52.1,-6.5,-91502,8,240,GERALD R. FORD, ,48.0%,719261,39147793,Northeast,3,-13.3,0.5,10,Connecticut,,,Connecticut,R,1381526,81555889,52.1,D,1976
VA,Hex,12,36,% shift to the left,,,ü,Jimmy Carter,F,,Left,0,,48.0,17.9,375009,,297,JIMMY CARTER,Gerald R. Ford,50.1%,813896,40830763,8,5,,,,,,,,,,,,,"The United States presidential election of 1976 followed the resignation of President Richard Nixon in the wake of the Watergate scandal. It pitted incumbent President Gerald Ford, the Republican candidate, against the relatively unknown former governor of Georgia, Jimmy Carter, the Democratic candidate. Ford was saddled with a slow economy and paid a political price for his pardon of Nixon. Carter ran as a Washington outsider and reformer and won a narrow victory. He was the first president elected from the Deep South since Zachary Taylor in 1848.",37.7,R,67.8,1,0,1.3,49.3,-18.5,-151939,12,240,GERALD R. FORD, ,48.0%,836554,39147793,South,4,-36.4,0.5,8,Virginia,,,Virginia,R,1697094,81555889,49.3,D,1976
OK,Hex,8,48,% shift to the left,,,ü,Jimmy Carter,F,,Left,0,,48.7,24.7,285295,,297,JIMMY CARTER,Gerald R. Ford,50.1%,532442,40830763,4.5,6,,,,,,,,,,,,,"The United States presidential election of 1976 followed the resignation of President Richard Nixon in the wake of the Watergate scandal. It pitted incumbent President Gerald Ford, the Republican candidate, against the relatively unknown former governor of Georgia, Jimmy Carter, the Democratic candidate. Ford was saddled with a slow economy and paid a political price for his pardon of Nixon. Carter ran as a Washington outsider and reformer and won a narrow victory. He was the first president elected from the Deep South since Zachary Taylor in 1848.",49.7,R,73.7,1,0,1.3,50.0,-23.7,-213317,8,240,GERALD R. FORD, ,48.0%,545708,39147793,South,6,-48.4,0.5,4,Oklahoma,,,Oklahoma,R,1092251,81555889,50,D,1976
AK,Hex,3,1,% shift to the left,,,ü,Jimmy Carter,H,,Left,0,,35.7,1.1,11091,,297,JIMMY CARTER,Gerald R. Ford,50.1%,44058,40830763,0.5,0,,,,,,,,,,,,,"The United States presidential election of 1976 followed the resignation of President Richard Nixon in the wake of the Watergate scandal. It pitted incumbent President Gerald Ford, the Republican candidate, against the relatively unknown former governor of Georgia, Jimmy Carter, the Democratic candidate. Ford was saddled with a slow economy and paid a political price for his pardon of Nixon. Carter ran as a Washington outsider and reformer and won a narrow victory. He was the first president elected from the Deep South since Zachary Taylor in 1848.",23.5,R,58.1,1,20,22.2,57.9,-0.200000000,16206,3,240,GERALD R. FORD, ,48.0%,71555,39147793,West,0,-1.3,0.5,0,Alaska,,,Alaska,R,123574,81555889,57.9,D,1976
WA,Hex,8,14,% shift to the left,,,ü,Jimmy Carter,F,,Left,0,,46.1,7.5,148989,,297,JIMMY CARTER,Gerald R. Ford,50.1%,717323,40830763,1.5,2,,,,,,,,,,,,,"The United States presidential election of 1976 followed the resignation of President Richard Nixon in the wake of the Watergate scandal. It pitted incumbent President Gerald Ford, the Republican candidate, against the relatively unknown former governor of Georgia, Jimmy Carter, the Democratic candidate. Ford was saddled with a slow economy and paid a political price for his pardon of Nixon. Carter ran as a Washington outsider and reformer and won a narrow victory. He was the first president elected from the Deep South since Zachary Taylor in 1848.",18.3,R,56.9,1,0,3.9,50.0,-6.9,-59403,8,240,GERALD R. FORD, ,48.0%,777732,39147793,West,2,-14.4,0.5,1,Washington,,,Washington,R,1555534,81555889,50,D,1976
MT,Hex,4,13,% shift to the left,,,ü,Jimmy Carter,F,,Left,0,,45.4,7.6,29062,,297,JIMMY CARTER,Gerald R. Ford,50.1%,149259,40830763,2.5,2,,,,,,,,,,,,,"The United States presidential election of 1976 followed the resignation of President Richard Nixon in the wake of the Watergate scandal. It pitted incumbent President Gerald Ford, the Republican candidate, against the relatively unknown former governor of Georgia, Jimmy Carter, the Democratic candidate. Ford was saddled with a slow economy and paid a political price for his pardon of Nixon. Carter ran as a Washington outsider and reformer and won a narrow victory. He was the first president elected from the Deep South since Zachary Taylor in 1848.",20.1,R,57.9,1,5,7.4,52.8,-5.1,-10273,4,240,GERALD R. FORD, ,48.0%,173703,39147793,West,2,-12.7,0.5,3,Montana,,,Montana,R,328734,81555889,52.8,D,1976
ID,Hex,4,16,% shift to the left,,,ü,Jimmy Carter,H,,Left,0,,36.8,10.8,45723,,297,JIMMY CARTER,Gerald R. Ford,50.1%,126549,40830763,2,3,,,,,,,,,,,,,"The United States presidential election of 1976 followed the resignation of President Richard Nixon in the wake of the Watergate scandal. It pitted incumbent President Gerald Ford, the Republican candidate, against the relatively unknown former governor of Georgia, Jimmy Carter, the Democratic candidate. Ford was saddled with a slow economy and paid a political price for his pardon of Nixon. Carter ran as a Washington outsider and reformer and won a narrow victory. He was the first president elected from the Deep South since Zachary Taylor in 1848.",38.2,R,64.2,1,20,22.5,59.3,-4.900000000,4767,4,240,GERALD R. FORD, ,48.0%,204151,39147793,West,2,-15.7,0.5,2,Idaho,,,Idaho,R,344071,81555889,59.3,D,1976
WY,Hex,3,19,% shift to the left,,,ü,Jimmy Carter,G,,Left,0,,39.8,9.3,17881,,297,JIMMY CARTER,Gerald R. Ford,50.1%,62239,40830763,3,3,,,,,,,,,,,,,"The United States presidential election of 1976 followed the resignation of President Richard Nixon in the wake of the Watergate scandal. It pitted incumbent President Gerald Ford, the Republican candidate, against the relatively unknown former governor of Georgia, Jimmy Carter, the Democratic candidate. Ford was saddled with a slow economy and paid a political price for his pardon of Nixon. Carter ran as a Washington outsider and reformer and won a narrow victory. He was the first president elected from the Deep South since Zachary Taylor in 1848.",38.5,R,69,1,15,19.5,59.3,-9.7,-7747,3,240,GERALD R. FORD, ,48.0%,92717,39147793,West,3,-19.0,0.5,3,Wyoming,,,Wyoming,R,156343,81555889,59.3,D,1976
OR,Hex,6,10,% shift to the left,,,ü,Jimmy Carter,F,,Left,0,,47.6,5.3,97647,,297,JIMMY CARTER,Gerald R. Ford,50.1%,490407,40830763,1.5,4,,,,,,,,,,,,,"The United States presidential election of 1976 followed the resignation of President Richard Nixon in the wake of the Watergate scandal. It pitted incumbent President Gerald Ford, the Republican candidate, against the relatively unknown former governor of Georgia, Jimmy Carter, the Democratic candidate. Ford was saddled with a slow economy and paid a political price for his pardon of Nixon. Carter ran as a Washington outsider and reformer and won a narrow victory. He was the first president elected from the Deep South since Zachary Taylor in 1848.",10.1,R,52.4,1,0,0.200000000,47.8,-4.6,5434,6,240,GERALD R. FORD, ,48.0%,492120,39147793,West,3,-9.9,0.5,1,Oregon,,,Oregon,R,1029876,81555889,47.8,D,1976
NV,Hex,3,23,% shift to the left,,,ü,Jimmy Carter,F,,Left,0,,45.8,9.5,26463,,297,JIMMY CARTER,Gerald R. Ford,50.1%,92479,40830763,2.5,4,,,,,,,,,,,,,"The United States presidential election of 1976 followed the resignation of President Richard Nixon in the wake of the Watergate scandal. It pitted incumbent President Gerald Ford, the Republican candidate, against the relatively unknown former governor of Georgia, Jimmy Carter, the Democratic candidate. Ford was saddled with a slow economy and paid a political price for his pardon of Nixon. Carter ran as a Washington outsider and reformer and won a narrow victory. He was the first president elected from the Deep South since Zachary Taylor in 1848.",27.4,R,63.7,1,0,4.400000000,50.2,-13.5,-14477,3,240,GERALD R. FORD, ,48.0%,101273,39147793,West,3,-23.0,0.5,2,Nevada,,,Nevada,R,201876,81555889,50.2,D,1976
CO,Hex,7,17,% shift to the left,,,ü,Jimmy Carter,G,,Left,0,,42.6,8,130373,,297,JIMMY CARTER,Gerald R. Ford,50.1%,460353,40830763,3.5,4,,,,,,,,,,,,,"The United States presidential election of 1976 followed the resignation of President Richard Nixon in the wake of the Watergate scandal. It pitted incumbent President Gerald Ford, the Republican candidate, against the relatively unknown former governor of Georgia, Jimmy Carter, the Democratic candidate. Ford was saddled with a slow economy and paid a political price for his pardon of Nixon. Carter ran as a Washington outsider and reformer and won a narrow victory. He was the first president elected from the Deep South since Zachary Taylor in 1848.",28,R,62.6,1,10,11.4,54.0,-8.6,-12822,7,240,GERALD R. FORD, ,48.0%,584367,39147793,West,4,-16.6,0.5,3,Colorado,,,Colorado,R,1081554,81555889,54,D,1976
CA,Hex,45,12,% shift to the left,,,ü,Jimmy Carter,F,,Left,0,,47.6,6.1,266437,,297,JIMMY CARTER,Gerald R. Ford,50.1%,3742284,40830763,2,5,,,,,,,,,,,,,"The United States presidential election of 1976 followed the resignation of President Richard Nixon in the wake of the Watergate scandal. It pitted incumbent President Gerald Ford, the Republican candidate, against the relatively unknown former governor of Georgia, Jimmy Carter, the Democratic candidate. Ford was saddled with a slow economy and paid a political price for his pardon of Nixon. Carter ran as a Washington outsider and reformer and won a narrow victory. He was the first president elected from the Deep South since Zachary Taylor in 1848.",13.5,R,55,1,0,1.7,49.3,-5.7,-719852,45,240,GERALD R. FORD, ,48.0%,3882244,39147793,West,4,-11.8,0.5,1,California,,,California,R,7867117,81555889,49.3,D,1976
UT,Hex,4,12,% shift to the left,,,ü,Jimmy Carter,H,,Left,0,,33.6,7.2,55826,,297,JIMMY CARTER,Gerald R. Ford,50.1%,182110,40830763,4,5,,,,,,,,,,,,,"The United States presidential election of 1976 followed the resignation of President Richard Nixon in the wake of the Watergate scandal. It pitted incumbent President Gerald Ford, the Republican candidate, against the relatively unknown former governor of Georgia, Jimmy Carter, the Democratic candidate. Ford was saddled with a slow economy and paid a political price for his pardon of Nixon. Carter ran as a Washington outsider and reformer and won a narrow victory. He was the first president elected from the Deep South since Zachary Taylor in 1848.",41.2,R,67.6,1,25,28.8,62.4,-5.2,14265,4,240,GERALD R. FORD, ,48.0%,337908,39147793,West,4,-12.4,0.5,2,Utah,,,Utah,R,541198,81555889,62.4,D,1976
AZ,Hex,6,16,% shift to the left,,,ü,Jimmy Carter,G,,Left,0,,39.8,7.9,97062,,297,JIMMY CARTER,Gerald R. Ford,50.1%,295602,40830763,3,5,,,,,,,,,,,,,"The United States presidential election of 1976 followed the resignation of President Richard Nixon in the wake of the Watergate scandal. It pitted incumbent President Gerald Ford, the Republican candidate, against the relatively unknown former governor of Georgia, Jimmy Carter, the Democratic candidate. Ford was saddled with a slow economy and paid a political price for his pardon of Nixon. Carter ran as a Washington outsider and reformer and won a narrow victory. He was the first president elected from the Deep South since Zachary Taylor in 1848.",32.8,R,64.7,1,15,16.6,56.4,-8.3,15830,6,240,GERALD R. FORD, ,48.0%,418642,39147793,West,5,-16.2,0.5,2,Arizona,,,Arizona,R,742719,81555889,56.4,D,1976
NM,Hex,4,22,% shift to the left,,,ü,Jimmy Carter,F,,Left,0,,48.1,11.6,60064,,297,JIMMY CARTER,Gerald R. Ford,50.1%,201148,40830763,3.5,6,,,,,,,,,,,,,"The United States presidential election of 1976 followed the resignation of President Richard Nixon in the wake of the Watergate scandal. It pitted incumbent President Gerald Ford, the Republican candidate, against the relatively unknown former governor of Georgia, Jimmy Carter, the Democratic candidate. Ford was saddled with a slow economy and paid a political price for his pardon of Nixon. Carter ran as a Washington outsider and reformer and won a narrow victory. He was the first president elected from the Deep South since Zachary Taylor in 1848.",24.5,R,61,1,0,2.4,50.5,-10.5,-24187,4,240,GERALD R. FORD, ,48.0%,211419,39147793,West,5,-22.1,0.5,3,New Mexico,,,New Mexico,R,418409,81555889,50.5,D,1976
