Abbreviation,Selected Map,Total_EV,Shift,Shift tooltip,I_Nominee tooltip,blank,D-Check,D_Nominee_prop,Color Bins,Independent spacing,Direction,Spacer,R-Check,D_Percentage,D_DifferencePercentage,D_Difference,D_EV,D_EV_Total,D_Nominee,R_Nominee_prop,D_PopularPercentage,D_Votes,D_Votes_Total,Hex_Column,Hex_Row,I_Percentage,I_EV,I_EV_Total,I_Nominee tooltip 䄏,I_Nominee tooltip ')',I_Nominee tooltip 'Percentage)',I_Nominee tooltip '(',I_Nominee,I_PopularPercentage,I_Votes,I_Votes_Total,Independent spacing (popular),Info,Last_RD_Difference,Last_Winner,Last_Winner_Percentage,Number of Records,RD_Difference (bin),RD_Difference,R_Percentage,R_DifferencePercentage,R_Difference,R_EV,R_EV_Total,R_Nominee,I_Nominee_prop,R_PopularPercentage,R_Votes,R_Votes_Total,Region,Row,Shift :(l/r),Shift abbreviation,Space,State (red),State (blue),State (yellow),State,State_Winner,Total Votes,Total_Votes_USA,Winner_Percentage,Winning Party,Year
NE,Hex,5,,,,,,Hillary Clinton,,,,0,,34,,,,227,Hillary Clinton,Donald Trump,48.20%,284494,65853625,,,,,,,,,,,,,,,"Although most major media outlets insisted before the election that the race was too close to predict a winner in advance, analysts using statistical models, bookmakers, and betting markets had Obama as a clear favorite. At around 11:15 PM EST on Election Day, most major television networks called Ohio for Obama, projecting him the winner of the election. At around 1:00 AM EST on November 7, Romney conceded the election to Obama. By November 10, the electoral outcomes of all 50 states and the District of Columbia had been definitively projected. Obama won 332 electoral votes and carried all the states and districts (among states that allocate electoral votes by district) that he had won in the 2008 election except North Carolina, Indiana, and Nebraska's 2nd congressional district.",21.8,R,59.8,1,20,26.3,60.3,,,5,304,Donald Trump, ,46.10%,495961,62985106,Midwest,4,,-0.5,4,Nebraska,,,Nebraska,R,844227,136628459,,R,2016
MO,Hex,10,,,,,,Hillary Clinton,,,,0,,38,,,,227,Hillary Clinton,Donald Trump,48.20%,1071068,65853625,,,,,,,,,,,,,,,"Although most major media outlets insisted before the election that the race was too close to predict a winner in advance, analysts using statistical models, bookmakers, and betting markets had Obama as a clear favorite. At around 11:15 PM EST on Election Day, most major television networks called Ohio for Obama, projecting him the winner of the election. At around 1:00 AM EST on November 7, Romney conceded the election to Obama. By November 10, the electoral outcomes of all 50 states and the District of Columbia had been definitively projected. Obama won 332 electoral votes and carried all the states and districts (among states that allocate electoral votes by district) that he had won in the 2008 election except North Carolina, Indiana, and Nebraska's 2nd congressional district.",9.4,R,53.8,1,5,19.1,57.1,,,10,304,Donald Trump, ,46.10%,1594511,62985106,Midwest,4,,-0.5,5,Missouri,,,Missouri,R,2808605,136628459,,R,2016
KS,Hex,6,,,,,,Hillary Clinton,,,,0,,36.2,,,,227,Hillary Clinton,Donald Trump,48.20%,427005,65853625,,,,,,,,,,,,,,,"Although most major media outlets insisted before the election that the race was too close to predict a winner in advance, analysts using statistical models, bookmakers, and betting markets had Obama as a clear favorite. At around 11:15 PM EST on Election Day, most major television networks called Ohio for Obama, projecting him the winner of the election. At around 1:00 AM EST on November 7, Romney conceded the election to Obama. By November 10, the electoral outcomes of all 50 states and the District of Columbia had been definitively projected. Obama won 332 electoral votes and carried all the states and districts (among states that allocate electoral votes by district) that he had won in the 2008 election except North Carolina, Indiana, and Nebraska's 2nd congressional district.",21.7,R,59.7,1,20,21,57.2,,,6,304,Donald Trump, ,46.10%,"671,018",62985106,Midwest,5,,-0.5,4,Kansas,,,Kansas,R,1184402,136628459,,R,2016
NC,Hex,15,,,,,,Hillary Clinton,,,,0,,46.7,,,,227,Hillary Clinton,Donald Trump,48.20%,2189316,65853625,,,,,,,,,,,,,,,"Although most major media outlets insisted before the election that the race was too close to predict a winner in advance, analysts using statistical models, bookmakers, and betting markets had Obama as a clear favorite. At around 11:15 PM EST on Election Day, most major television networks called Ohio for Obama, projecting him the winner of the election. At around 1:00 AM EST on November 7, Romney conceded the election to Obama. By November 10, the electoral outcomes of all 50 states and the District of Columbia had been definitively projected. Obama won 332 electoral votes and carried all the states and districts (among states that allocate electoral votes by district) that he had won in the 2008 election except North Carolina, Indiana, and Nebraska's 2nd congressional district.",2,R,50.4,1,0,3.8,50.5,,,15,304,Donald Trump, ,46.10%,2362631,62985106,South,5,,-0.5,7,North Carolina,,,North Carolina,R,4741564,136628459,,R,2016
KY,Hex,8,,,,,,Hillary Clinton,,,,0,,32.7,,,,227,Hillary Clinton,Donald Trump,48.20%,628854,65853625,,,,,,,,,,,,,,,"Although most major media outlets insisted before the election that the race was too close to predict a winner in advance, analysts using statistical models, bookmakers, and betting markets had Obama as a clear favorite. At around 11:15 PM EST on Election Day, most major television networks called Ohio for Obama, projecting him the winner of the election. At around 1:00 AM EST on November 7, Romney conceded the election to Obama. By November 10, the electoral outcomes of all 50 states and the District of Columbia had been definitively projected. Obama won 332 electoral votes and carried all the states and districts (among states that allocate electoral votes by district) that he had won in the 2008 election except North Carolina, Indiana, and Nebraska's 2nd congressional district.",22.7,R,60.5,1,20,29.8,62.5,,,8,304,Donald Trump, ,46.10%,1202971,62985106,South,4,,-0.5,6,Kentucky,,,Kentucky,R,1924149,136628459,,R,2016
WV,Hex,5,,,,,,Hillary Clinton,,,,0,,26.5,,,,227,Hillary Clinton,Donald Trump,48.20%,188794,65853625,,,,,,,,,,,,,,,"Although most major media outlets insisted before the election that the race was too close to predict a winner in advance, analysts using statistical models, bookmakers, and betting markets had Obama as a clear favorite. At around 11:15 PM EST on Election Day, most major television networks called Ohio for Obama, projecting him the winner of the election. At around 1:00 AM EST on November 7, Romney conceded the election to Obama. By November 10, the electoral outcomes of all 50 states and the District of Columbia had been definitively projected. Obama won 332 electoral votes and carried all the states and districts (among states that allocate electoral votes by district) that he had won in the 2008 election except North Carolina, Indiana, and Nebraska's 2nd congressional district.",26.8,R,62.3,1,25,42.2,68.7,,,5,304,Donald Trump, ,46.10%,489371,62985106,South,4,,-0.5,7,West Virginia,,,West Virginia,R,714423,136628459,,R,2016
AR,Hex,6,,,,,,Hillary Clinton,,,,0,,33.8,,,,227,Hillary Clinton,Donald Trump,48.20%,380494,65853625,,,,,,,,,,,,,,,"Although most major media outlets insisted before the election that the race was too close to predict a winner in advance, analysts using statistical models, bookmakers, and betting markets had Obama as a clear favorite. At around 11:15 PM EST on Election Day, most major television networks called Ohio for Obama, projecting him the winner of the election. At around 1:00 AM EST on November 7, Romney conceded the election to Obama. By November 10, the electoral outcomes of all 50 states and the District of Columbia had been definitively projected. Obama won 332 electoral votes and carried all the states and districts (among states that allocate electoral votes by district) that he had won in the 2008 election except North Carolina, Indiana, and Nebraska's 2nd congressional district.",23.7,R,60.6,1,20,26.6,60.4,,,6,304,Donald Trump, ,46.10%,684872,62985106,South,5,,-0.5,5,Arkansas,,,Arkansas,R,1130635,136628459,,R,2016
TN,Hex,11,,,,,,Hillary Clinton,,,,0,,34.9,,,,227,Hillary Clinton,Donald Trump,48.20%,870695,65853625,,,,,,,,,,,,,,,"Although most major media outlets insisted before the election that the race was too close to predict a winner in advance, analysts using statistical models, bookmakers, and betting markets had Obama as a clear favorite. At around 11:15 PM EST on Election Day, most major television networks called Ohio for Obama, projecting him the winner of the election. At around 1:00 AM EST on November 7, Romney conceded the election to Obama. By November 10, the electoral outcomes of all 50 states and the District of Columbia had been definitively projected. Obama won 332 electoral votes and carried all the states and districts (among states that allocate electoral votes by district) that he had won in the 2008 election except North Carolina, Indiana, and Nebraska's 2nd congressional district.",20.4,R,59.5,1,20,26.2,61.1,,,11,304,Donald Trump, ,46.10%,1522925,62985106,South,5,,-0.5,6,Tennessee,,,Tennessee,R,2508027,136628459,,R,2016
SC,Hex,9,,,,,,Hillary Clinton,,,,0,,40.8,,,,227,Hillary Clinton,Donald Trump,48.20%,855373,65853625,,,,,,,,,,,,,,,"Although most major media outlets insisted before the election that the race was too close to predict a winner in advance, analysts using statistical models, bookmakers, and betting markets had Obama as a clear favorite. At around 11:15 PM EST on Election Day, most major television networks called Ohio for Obama, projecting him the winner of the election. At around 1:00 AM EST on November 7, Romney conceded the election to Obama. By November 10, the electoral outcomes of all 50 states and the District of Columbia had been definitively projected. Obama won 332 electoral votes and carried all the states and districts (among states that allocate electoral votes by district) that he had won in the 2008 election except North Carolina, Indiana, and Nebraska's 2nd congressional district.",10.5,R,54.6,1,10,14.1,54.9,,,9,304,Donald Trump, ,46.10%,1155389,62985106,South,5,,-0.5,8,South Carolina,,,South Carolina,R,2103027,136628459,,R,2016
OK,Hex,7,,,,,,Hillary Clinton,,,,0,,28.9,,,,227,Hillary Clinton,Donald Trump,48.20%,420375,65853625,,,,,,,,,,,,,,,"Although most major media outlets insisted before the election that the race was too close to predict a winner in advance, analysts using statistical models, bookmakers, and betting markets had Obama as a clear favorite. At around 11:15 PM EST on Election Day, most major television networks called Ohio for Obama, projecting him the winner of the election. At around 1:00 AM EST on November 7, Romney conceded the election to Obama. By November 10, the electoral outcomes of all 50 states and the District of Columbia had been definitively projected. Obama won 332 electoral votes and carried all the states and districts (among states that allocate electoral votes by district) that he had won in the 2008 election except North Carolina, Indiana, and Nebraska's 2nd congressional district.",33.6,R,66.8,1,30,36.4,65.3,,,7,304,Donald Trump, ,46.10%,949136,62985106,South,6,,-0.5,4,Oklahoma,,,Oklahoma,R,1452992,136628459,,R,2016
LA,Hex,8,,,,,,Hillary Clinton,,,,0,,38.4,,,,227,Hillary Clinton,Donald Trump,48.20%,780154,65853625,,,,,,,,,,,,,,,"Although most major media outlets insisted before the election that the race was too close to predict a winner in advance, analysts using statistical models, bookmakers, and betting markets had Obama as a clear favorite. At around 11:15 PM EST on Election Day, most major television networks called Ohio for Obama, projecting him the winner of the election. At around 1:00 AM EST on November 7, Romney conceded the election to Obama. By November 10, the electoral outcomes of all 50 states and the District of Columbia had been definitively projected. Obama won 332 electoral votes and carried all the states and districts (among states that allocate electoral votes by district) that he had won in the 2008 election except North Carolina, Indiana, and Nebraska's 2nd congressional district.",17.2,R,57.8,1,15,19.7,58.1,,,8,304,Donald Trump, ,46.10%,1178638,62985106,South,6,,0.5,5,Louisiana,,,Louisiana,R,2029032,136628459,,R,2016
MS,Hex,6,,,,,,Hillary Clinton,,,,0,,39.7,,,,227,Hillary Clinton,Donald Trump,48.20%,485131,65853625,,,,,,,,,,,,,,,"Although most major media outlets insisted before the election that the race was too close to predict a winner in advance, analysts using statistical models, bookmakers, and betting markets had Obama as a clear favorite. At around 11:15 PM EST on Election Day, most major television networks called Ohio for Obama, projecting him the winner of the election. At around 1:00 AM EST on November 7, Romney conceded the election to Obama. By November 10, the electoral outcomes of all 50 states and the District of Columbia had been definitively projected. Obama won 332 electoral votes and carried all the states and districts (among states that allocate electoral votes by district) that he had won in the 2008 election except North Carolina, Indiana, and Nebraska's 2nd congressional district.",11.5,R,55.3,1,10,18.6,58.3,,,6,304,Donald Trump, ,46.10%,700714,62985106,South,6,,0.5,6,Mississippi,,,Mississippi,R,1209357,136628459,,R,2016
AL,Hex,9,,,,,,Hillary Clinton,,,,0,,34.6,,,,227,Hillary Clinton,Donald Trump,48.20%,729547,65853625,,,,,,,,,,,,,,,"Although most major media outlets insisted before the election that the race was too close to predict a winner in advance, analysts using statistical models, bookmakers, and betting markets had Obama as a clear favorite. At around 11:15 PM EST on Election Day, most major television networks called Ohio for Obama, projecting him the winner of the election. At around 1:00 AM EST on November 7, Romney conceded the election to Obama. By November 10, the electoral outcomes of all 50 states and the District of Columbia had been definitively projected. Obama won 332 electoral votes and carried all the states and districts (among states that allocate electoral votes by district) that he had won in the 2008 election except North Carolina, Indiana, and Nebraska's 2nd congressional district.",22.1,R,60.5,1,20,28.3,62.9,,,9,304,Donald Trump, ,46.10%,1318255,62985106,South,6,,-0.5,7,Alabama,,,Alabama,R,2123372,136628459,,R,2016
GA,Hex,16,,,,,,Hillary Clinton,,,,0,,45.6,,,,227,Hillary Clinton,Donald Trump,48.20%,1877963,65853625,,,,,,,,,,,,,,,"Although most major media outlets insisted before the election that the race was too close to predict a winner in advance, analysts using statistical models, bookmakers, and betting markets had Obama as a clear favorite. At around 11:15 PM EST on Election Day, most major television networks called Ohio for Obama, projecting him the winner of the election. At around 1:00 AM EST on November 7, Romney conceded the election to Obama. By November 10, the electoral outcomes of all 50 states and the District of Columbia had been definitively projected. Obama won 332 electoral votes and carried all the states and districts (among states that allocate electoral votes by district) that he had won in the 2008 election except North Carolina, Indiana, and Nebraska's 2nd congressional district.",7.8,R,53.3,1,5,5.7,51.3,,,16,304,Donald Trump, ,46.10%,2089104,62985106,South,6,,-0.5,8,Georgia,,,Georgia,R,4114732,136628459,,R,2016
TX,Hex,38,,,,,,Hillary Clinton,,,,0,,43.4,,,,227,Hillary Clinton,Donald Trump,48.20%,3877868,65853625,,,,,,,,,,,,,,,"Although most major media outlets insisted before the election that the race was too close to predict a winner in advance, analysts using statistical models, bookmakers, and betting markets had Obama as a clear favorite. At around 11:15 PM EST on Election Day, most major television networks called Ohio for Obama, projecting him the winner of the election. At around 1:00 AM EST on November 7, Romney conceded the election to Obama. By November 10, the electoral outcomes of all 50 states and the District of Columbia had been definitively projected. Obama won 332 electoral votes and carried all the states and districts (among states that allocate electoral votes by district) that he had won in the 2008 election except North Carolina, Indiana, and Nebraska's 2nd congressional district.",15.8,R,57.2,1,15,9.2,52.6,,,36,304,Donald Trump, ,46.10%,4685047,62985106,South,7,,-0.5,4,Texas,,,Texas,R,8969226,136628459,,R,2016
AK,Hex,3,,,,,,Hillary Clinton,,,,0,,37.7,,,,227,Hillary Clinton,Donald Trump,48.20%,116454,65853625,,,,,,,,,,,,,,,"Although most major media outlets insisted before the election that the race was too close to predict a winner in advance, analysts using statistical models, bookmakers, and betting markets had Obama as a clear favorite. At around 11:15 PM EST on Election Day, most major television networks called Ohio for Obama, projecting him the winner of the election. At around 1:00 AM EST on November 7, Romney conceded the election to Obama. By November 10, the electoral outcomes of all 50 states and the District of Columbia had been definitively projected. Obama won 332 electoral votes and carried all the states and districts (among states that allocate electoral votes by district) that he had won in the 2008 election except North Carolina, Indiana, and Nebraska's 2nd congressional district.",14,R,54.8,1,10,15.2,52.9,,,3,304,Donald Trump, ,46.10%,163387,62985106,West,0,,0.5,0,Alaska,,,Alaska,R,318608,136628459,,R,2016
MT,Hex,3,,,,,,Hillary Clinton,,,,0,,36,,,,227,Hillary Clinton,Donald Trump,48.20%,177709,65853625,,,,,,,,,,,,,,,"Although most major media outlets insisted before the election that the race was too close to predict a winner in advance, analysts using statistical models, bookmakers, and betting markets had Obama as a clear favorite. At around 11:15 PM EST on Election Day, most major television networks called Ohio for Obama, projecting him the winner of the election. At around 1:00 AM EST on November 7, Romney conceded the election to Obama. By November 10, the electoral outcomes of all 50 states and the District of Columbia had been definitively projected. Obama won 332 electoral votes and carried all the states and districts (among states that allocate electoral votes by district) that he had won in the 2008 election except North Carolina, Indiana, and Nebraska's 2nd congressional district.",13.7,R,55.4,1,10,20.5,56.5,,,3,304,Donald Trump, ,46.10%,279240,62985106,West,2,,-0.5,3,Montana,,,Montana,R,497147,136628459,,R,2016
ID,Hex,4,,,,,,Hillary Clinton,,,,0,,27.6,,,,227,Hillary Clinton,Donald Trump,48.20%,189765,65853625,,,,,,,,,,,,,,,"Although most major media outlets insisted before the election that the race was too close to predict a winner in advance, analysts using statistical models, bookmakers, and betting markets had Obama as a clear favorite. At around 11:15 PM EST on Election Day, most major television networks called Ohio for Obama, projecting him the winner of the election. At around 1:00 AM EST on November 7, Romney conceded the election to Obama. By November 10, the electoral outcomes of all 50 states and the District of Columbia had been definitively projected. Obama won 332 electoral votes and carried all the states and districts (among states that allocate electoral votes by district) that he had won in the 2008 election except North Carolina, Indiana, and Nebraska's 2nd congressional district.",31.9,R,64.5,1,30,31.6,59.2,,,4,304,Donald Trump, ,46.10%,409055,62985106,West,2,,-0.5,2,Idaho,,,Idaho,R,690225,136628459,,R,2016
WY,Hex,3,,,,,,Hillary Clinton,,,,0,,22.5,,,,227,Hillary Clinton,Donald Trump,48.20%,55973,65853625,,,,,,,,,,,,,,,"Although most major media outlets insisted before the election that the race was too close to predict a winner in advance, analysts using statistical models, bookmakers, and betting markets had Obama as a clear favorite. At around 11:15 PM EST on Election Day, most major television networks called Ohio for Obama, projecting him the winner of the election. At around 1:00 AM EST on November 7, Romney conceded the election to Obama. By November 10, the electoral outcomes of all 50 states and the District of Columbia had been definitively projected. Obama won 332 electoral votes and carried all the states and districts (among states that allocate electoral votes by district) that he had won in the 2008 election except North Carolina, Indiana, and Nebraska's 2nd congressional district.",40.8,R,68.6,1,40,47.6,70.1,,,3,304,Donald Trump, ,46.10%,174419,62985106,West,3,,-0.5,3,Wyoming,,,Wyoming,R,255849,136628459,,R,2016
UT,Hex,6,,,,,,Hillary Clinton,,,,0,,27.8,,,,227,Hillary Clinton,Donald Trump,48.20%,310676,65853625,,,,,,,,,,,,,,,"Although most major media outlets insisted before the election that the race was too close to predict a winner in advance, analysts using statistical models, bookmakers, and betting markets had Obama as a clear favorite. At around 11:15 PM EST on Election Day, most major television networks called Ohio for Obama, projecting him the winner of the election. At around 1:00 AM EST on November 7, Romney conceded the election to Obama. By November 10, the electoral outcomes of all 50 states and the District of Columbia had been definitively projected. Obama won 332 electoral votes and carried all the states and districts (among states that allocate electoral votes by district) that he had won in the 2008 election except North Carolina, Indiana, and Nebraska's 2nd congressional district.",48.1,R,72.8,1,45,18.1,45.9,,,6,304,Donald Trump, ,46.10%,515231,62985106,West,4,,-0.5,2,Utah,,,Utah,R,1131430,136628459,,R,2016
AZ,Hex,11,,,,,,Hillary Clinton,,,,0,,45.4,,,,227,Hillary Clinton,Donald Trump,48.20%,1161167,65853625,,,,,,,,,,,,,,,"Although most major media outlets insisted before the election that the race was too close to predict a winner in advance, analysts using statistical models, bookmakers, and betting markets had Obama as a clear favorite. At around 11:15 PM EST on Election Day, most major television networks called Ohio for Obama, projecting him the winner of the election. At around 1:00 AM EST on November 7, Romney conceded the election to Obama. By November 10, the electoral outcomes of all 50 states and the District of Columbia had been definitively projected. Obama won 332 electoral votes and carried all the states and districts (among states that allocate electoral votes by district) that he had won in the 2008 election except North Carolina, Indiana, and Nebraska's 2nd congressional district.",9.1,R,53.7,1,5,4.1,49.5,,,11,304,Donald Trump, ,46.10%,1252401,62985106,West,5,,-0.5,2,Arizona,,,Arizona,R,2123372,136628459,,R,2016
