Abbreviation,Selected Map,Total_EV,Shift,Shift tooltip,I_Nominee tooltip,blank,D-Check,D_Nominee_prop,Color Bins,Independent spacing,Direction,Spacer,R-Check,D_Percentage,D_DifferencePercentage,D_Difference,D_EV,D_EV_Total,D_Nominee,R_Nominee_prop,D_PopularPercentage,D_Votes,D_Votes_Total,Hex_Column,Hex_Row,I_Percentage,I_EV,I_EV_Total,I_Nominee tooltip ●,I_Nominee tooltip ')',I_Nominee tooltip 'Percentage)',I_Nominee tooltip '(',I_Nominee,I_PopularPercentage,I_Votes,I_Votes_Total,Independent spacing (popular),Info,Last_RD_Difference,Last_Winner,Last_Winner_Percentage,Number of Records,RD_Difference (bin),RD_Difference,R_Percentage,R_DifferencePercentage,R_Difference,R_EV,R_EV_Total,R_Nominee,I_Nominee_prop,R_PopularPercentage,R_Votes,R_Votes_Total,Region,Row,Shift :(l/r),Shift abbreviation,Space,State (red),State (blue),State (yellow),State,State_Winner,Total Votes,Total_Votes_USA,Winner_Percentage,Winning Party,Year
NH,Hex,4,18,% shift to the right,John Anderson:	,,,Jimmy Carter,H,,Right,0,ü,28.4,-15.1,-38771,,49,JIMMY CARTER,Ronald Reagan,41.0%,108864,35483883,11,1,12.9,,,● ,),%), (,JOHN ANDERSON,6.6%,49693,5720060, ,"The United States presidential election of 1980 featured a contest between incumbent Democrat Jimmy Carter and his Republican opponent, Ronald Reagan, as well as Republican Congressman John B. Anderson, who ran as an independent. Reagan, aided by the Iran hostage crisis and a worsening economy at home, won the election in a landslide. Carter, after defeating Ted Kennedy for the Democratic nomination, attacked Reagan as a dangerous right-wing radical. For his part, Reagan, the former Governor of California, repeatedly ridiculed Carter, and won a decisive victory; in the simultaneous Congressional elections, Republicans won control of the United States Senate for the first time in 28 years. This election marked the beginning of what is popularly called the ""Reagan Revolution.""",11.2,R,54.7,1,25,29.3,57.7,3,35770,4,489,RONALD REAGAN,John Anderson,50.7%,221705,43904153,Northeast,1,18.1,-0.5,11,New Hampshire,,,New Hampshire,R,383990,86513813,57.7,R,1980
NJ,Hex,17,11,% shift to the right,John Anderson:	,,,Jimmy Carter,G,,Right,0,ü,38.6,-9.3,-297289,,49,JIMMY CARTER,Ronald Reagan,41.0%,1147364,35483883,10,3,7.9,,,● ,),%), (,JOHN ANDERSON,6.6%,234632,5720060, ,"The United States presidential election of 1980 featured a contest between incumbent Democrat Jimmy Carter and his Republican opponent, Ronald Reagan, as well as Republican Congressman John B. Anderson, who ran as an independent. Reagan, aided by the Iran hostage crisis and a worsening economy at home, won the election in a landslide. Carter, after defeating Ted Kennedy for the Democratic nomination, attacked Reagan as a dangerous right-wing radical. For his part, Reagan, the former Governor of California, repeatedly ridiculed Carter, and won a decisive victory; in the simultaneous Congressional elections, Republicans won control of the United States Senate for the first time in 28 years. This election marked the beginning of what is popularly called the ""Reagan Revolution.""",2.2,R,50.1,1,10,13.4,52.0,1.9,36869,17,489,RONALD REAGAN,John Anderson,50.7%,1546557,43904153,Northeast,3,11.2,-0.5,9,New Jersey,,,New Jersey,R,2975684,86513813,52,R,1980
CT,Hex,8,5,% shift to the right,John Anderson:	,,,Jimmy Carter,F,,Right,0,ü,38.5,-8.4,-106163,,49,JIMMY CARTER,Ronald Reagan,41.0%,541732,35483883,11,3,12.2,,,● ,),%), (,JOHN ANDERSON,6.6%,171807,5720060, ,"The United States presidential election of 1980 featured a contest between incumbent Democrat Jimmy Carter and his Republican opponent, Ronald Reagan, as well as Republican Congressman John B. Anderson, who ran as an independent. Reagan, aided by the Iran hostage crisis and a worsening economy at home, won the election in a landslide. Carter, after defeating Ted Kennedy for the Democratic nomination, attacked Reagan as a dangerous right-wing radical. For his part, Reagan, the former Governor of California, repeatedly ridiculed Carter, and won a decisive victory; in the simultaneous Congressional elections, Republicans won control of the United States Senate for the first time in 28 years. This election marked the beginning of what is popularly called the ""Reagan Revolution.""",5.2,R,52.1,1,5,9.7,48.2,-3.9,-42051,8,489,RONALD REAGAN,John Anderson,50.7%,677210,43904153,Northeast,3,4.5,-0.5,10,Connecticut,,,Connecticut,R,1406285,86513813,48.2,R,1980
KY,Hex,9,9,% shift to the right,John Anderson:	,,,Jimmy Carter,F,,Right,0,ü,47.6,-5.2,700,,49,JIMMY CARTER,Ronald Reagan,41.0%,616417,35483883,6.5,4,2.4,,,● ,),%), (,JOHN ANDERSON,6.6%,31127,5720060, ,"The United States presidential election of 1980 featured a contest between incumbent Democrat Jimmy Carter and his Republican opponent, Ronald Reagan, as well as Republican Congressman John B. Anderson, who ran as an independent. Reagan, aided by the Iran hostage crisis and a worsening economy at home, won the election in a landslide. Carter, after defeating Ted Kennedy for the Democratic nomination, attacked Reagan as a dangerous right-wing radical. For his part, Reagan, the former Governor of California, repeatedly ridiculed Carter, and won a decisive victory; in the simultaneous Congressional elections, Republicans won control of the United States Senate for the first time in 28 years. This election marked the beginning of what is popularly called the ""Reagan Revolution.""",-7.2,D,-52.8,1,0,1.5,49.1,3.5,103422,9,489,RONALD REAGAN,John Anderson,50.7%,635274,43904153,South,4,8.7,-0.5,6,Kentucky,,,Kentucky,R,1294627,86513813,49.1,R,1980
AR,Hex,6,31,% shift to the right,John Anderson:	,,,Jimmy Carter,F,,Right,0,ü,47.5,-17.5,-100563,,49,JIMMY CARTER,Ronald Reagan,41.0%,398041,35483883,6,5,2.7,,,● ,),%), (,JOHN ANDERSON,6.6%,22468,5720060, ,"The United States presidential election of 1980 featured a contest between incumbent Democrat Jimmy Carter and his Republican opponent, Ronald Reagan, as well as Republican Congressman John B. Anderson, who ran as an independent. Reagan, aided by the Iran hostage crisis and a worsening economy at home, won the election in a landslide. Carter, after defeating Ted Kennedy for the Democratic nomination, attacked Reagan as a dangerous right-wing radical. For his part, Reagan, the former Governor of California, repeatedly ridiculed Carter, and won a decisive victory; in the simultaneous Congressional elections, Republicans won control of the United States Senate for the first time in 28 years. This election marked the beginning of what is popularly called the ""Reagan Revolution.""",-30.1,D,-65,1,0,0.600000000,48.1,13.2,135261,6,489,RONALD REAGAN,John Anderson,50.7%,403164,43904153,South,5,30.7,-0.5,5,Arkansas,,,Arkansas,R,837582,86513813,48.1,R,1980
TN,Hex,10,13,% shift to the right,John Anderson:	,,,Jimmy Carter,F,,Right,0,ü,48.4,-7.5,-42828,,49,JIMMY CARTER,Ronald Reagan,41.0%,783051,35483883,7,5,2.2,,,● ,),%), (,JOHN ANDERSON,6.6%,35991,5720060, ,"The United States presidential election of 1980 featured a contest between incumbent Democrat Jimmy Carter and his Republican opponent, Ronald Reagan, as well as Republican Congressman John B. Anderson, who ran as an independent. Reagan, aided by the Iran hostage crisis and a worsening economy at home, won the election in a landslide. Carter, after defeating Ted Kennedy for the Democratic nomination, attacked Reagan as a dangerous right-wing radical. For his part, Reagan, the former Governor of California, repeatedly ridiculed Carter, and won a decisive victory; in the simultaneous Congressional elections, Republicans won control of the United States Senate for the first time in 28 years. This election marked the beginning of what is popularly called the ""Reagan Revolution.""",-13,D,-55.9,1,0,0.300000000,48.7,5.8,153792,10,489,RONALD REAGAN,John Anderson,50.7%,787761,43904153,South,5,13.3,-0.5,6,Tennessee,,,Tennessee,R,1617616,86513813,48.7,R,1980
NC,Hex,13,13,% shift to the right,John Anderson:	,,,Jimmy Carter,F,,Right,0,ü,47.2,-8,-51730,,49,JIMMY CARTER,Ronald Reagan,41.0%,875635,35483883,9,5,2.8,,,● ,),%), (,JOHN ANDERSON,6.6%,52800,5720060, ,"The United States presidential election of 1980 featured a contest between incumbent Democrat Jimmy Carter and his Republican opponent, Ronald Reagan, as well as Republican Congressman John B. Anderson, who ran as an independent. Reagan, aided by the Iran hostage crisis and a worsening economy at home, won the election in a landslide. Carter, after defeating Ted Kennedy for the Democratic nomination, attacked Reagan as a dangerous right-wing radical. For his part, Reagan, the former Governor of California, repeatedly ridiculed Carter, and won a decisive victory; in the simultaneous Congressional elections, Republicans won control of the United States Senate for the first time in 28 years. This election marked the beginning of what is popularly called the ""Reagan Revolution.""",-11,D,-55.2,1,0,2.100000000,49.3,5.100000000,173058,13,489,RONALD REAGAN,John Anderson,50.7%,915018,43904153,South,5,13.1,-0.5,7,North Carolina,,,North Carolina,R,1855833,86513813,49.3,R,1980
SC,Hex,8,14,% shift to the right,John Anderson:	,,,Jimmy Carter,F,,Right,0,ü,48.1,-8.1,-20422,,49,JIMMY CARTER,Ronald Reagan,41.0%,430385,35483883,8.5,6,1.6,,,● ,),%), (,JOHN ANDERSON,6.6%,14153,5720060, ,"The United States presidential election of 1980 featured a contest between incumbent Democrat Jimmy Carter and his Republican opponent, Ronald Reagan, as well as Republican Congressman John B. Anderson, who ran as an independent. Reagan, aided by the Iran hostage crisis and a worsening economy at home, won the election in a landslide. Carter, after defeating Ted Kennedy for the Democratic nomination, attacked Reagan as a dangerous right-wing radical. For his part, Reagan, the former Governor of California, repeatedly ridiculed Carter, and won a decisive victory; in the simultaneous Congressional elections, Republicans won control of the United States Senate for the first time in 28 years. This election marked the beginning of what is popularly called the ""Reagan Revolution.""",-13.1,D,-56.2,1,0,1.3,49.4,6.3,95692,8,489,RONALD REAGAN,John Anderson,50.7%,441841,43904153,South,5,14.4,-0.5,8,South Carolina,,,South Carolina,R,894071,86513813,49.4,R,1980
LA,Hex,10,11,% shift to the right,John Anderson:	,,,Jimmy Carter,F,,Right,0,ü,45.7,-6,47088,,49,JIMMY CARTER,Ronald Reagan,41.0%,708453,35483883,5.5,6,1.7,,,● ,),%), (,JOHN ANDERSON,6.6%,26345,5720060, ,"The United States presidential election of 1980 featured a contest between incumbent Democrat Jimmy Carter and his Republican opponent, Ronald Reagan, as well as Republican Congressman John B. Anderson, who ran as an independent. Reagan, aided by the Iran hostage crisis and a worsening economy at home, won the election in a landslide. Carter, after defeating Ted Kennedy for the Democratic nomination, attacked Reagan as a dangerous right-wing radical. For his part, Reagan, the former Governor of California, repeatedly ridiculed Carter, and won a decisive victory; in the simultaneous Congressional elections, Republicans won control of the United States Senate for the first time in 28 years. This election marked the beginning of what is popularly called the ""Reagan Revolution.""",-5.7,D,-51.7,1,5,5.5,51.2,5.2,205407,10,489,RONALD REAGAN,John Anderson,50.7%,792853,43904153,South,6,11.2,-0.5,5,Louisiana,,,Louisiana,R,1548591,86513813,51.2,R,1980
MS,Hex,7,3,% shift to the right,John Anderson:	,,,Jimmy Carter,F,,Right,0,ü,48.1,-1.5,47972,,49,JIMMY CARTER,Ronald Reagan,41.0%,429281,35483883,6.5,6,1.3,,,● ,),%), (,JOHN ANDERSON,6.6%,12036,5720060, ,"The United States presidential election of 1980 featured a contest between incumbent Democrat Jimmy Carter and his Republican opponent, Ronald Reagan, as well as Republican Congressman John B. Anderson, who ran as an independent. Reagan, aided by the Iran hostage crisis and a worsening economy at home, won the election in a landslide. Carter, after defeating Ted Kennedy for the Democratic nomination, attacked Reagan as a dangerous right-wing radical. For his part, Reagan, the former Governor of California, repeatedly ridiculed Carter, and won a decisive victory; in the simultaneous Congressional elections, Republicans won control of the United States Senate for the first time in 28 years. This election marked the beginning of what is popularly called the ""Reagan Revolution.""",-1.9,D,-49.6,1,0,1.3,49.4,1.7,74243,7,489,RONALD REAGAN,John Anderson,50.7%,441089,43904153,South,6,3.2,-0.5,6,Mississippi,,,Mississippi,R,892620,86513813,49.4,R,1980
AL,Hex,9,15,% shift to the right,John Anderson:	,,,Jimmy Carter,F,,Right,0,ü,47.4,-8.3,-22440,,49,JIMMY CARTER,Ronald Reagan,41.0%,636730,35483883,7.5,6,1.2,,,● ,),%), (,JOHN ANDERSON,6.6%,16481,5720060, ,"The United States presidential election of 1980 featured a contest between incumbent Democrat Jimmy Carter and his Republican opponent, Ronald Reagan, as well as Republican Congressman John B. Anderson, who ran as an independent. Reagan, aided by the Iran hostage crisis and a worsening economy at home, won the election in a landslide. Carter, after defeating Ted Kennedy for the Democratic nomination, attacked Reagan as a dangerous right-wing radical. For his part, Reagan, the former Governor of California, repeatedly ridiculed Carter, and won a decisive victory; in the simultaneous Congressional elections, Republicans won control of the United States Senate for the first time in 28 years. This election marked the beginning of what is popularly called the ""Reagan Revolution.""",-13.1,D,-55.7,1,0,1.4,48.8,6.2,150122,9,489,RONALD REAGAN,John Anderson,50.7%,654192,43904153,South,6,14.5,-0.5,7,Alabama,,,Alabama,R,1341929,86513813,48.8,R,1980
TX,Hex,26,17,% shift to the right,John Anderson:	,,,Jimmy Carter,G,,Right,0,ü,41.4,-9.7,-201172,,49,JIMMY CARTER,Ronald Reagan,41.0%,1881147,35483883,4,7,2.5,,,● ,),%), (,JOHN ANDERSON,6.6%,111613,5720060, ,"The United States presidential election of 1980 featured a contest between incumbent Democrat Jimmy Carter and his Republican opponent, Ronald Reagan, as well as Republican Congressman John B. Anderson, who ran as an independent. Reagan, aided by the Iran hostage crisis and a worsening economy at home, won the election in a landslide. Carter, after defeating Ted Kennedy for the Democratic nomination, attacked Reagan as a dangerous right-wing radical. For his part, Reagan, the former Governor of California, repeatedly ridiculed Carter, and won a decisive victory; in the simultaneous Congressional elections, Republicans won control of the United States Senate for the first time in 28 years. This election marked the beginning of what is popularly called the ""Reagan Revolution.""",-3.1,D,-51.1,1,10,13.9,55.3,7.3,557405,26,489,RONALD REAGAN,John Anderson,50.7%,2510705,43904153,South,7,17.0,-0.5,4,Texas,,,Texas,R,4541636,86513813,55.3,R,1980
FL,Hex,17,22,% shift to the right,John Anderson:	,,,Jimmy Carter,G,,Right,0,ü,38.5,-13.4,-216525,,49,JIMMY CARTER,Ronald Reagan,41.0%,1419475,35483883,8.5,8,5.1,,,● ,),%), (,JOHN ANDERSON,6.6%,189692,5720060, ,"The United States presidential election of 1980 featured a contest between incumbent Democrat Jimmy Carter and his Republican opponent, Ronald Reagan, as well as Republican Congressman John B. Anderson, who ran as an independent. Reagan, aided by the Iran hostage crisis and a worsening economy at home, won the election in a landslide. Carter, after defeating Ted Kennedy for the Democratic nomination, attacked Reagan as a dangerous right-wing radical. For his part, Reagan, the former Governor of California, repeatedly ridiculed Carter, and won a decisive victory; in the simultaneous Congressional elections, Republicans won control of the United States Senate for the first time in 28 years. This election marked the beginning of what is popularly called the ""Reagan Revolution.""",-5.3,D,-51.9,1,15,17,55.5,8.9,577420,17,489,RONALD REAGAN,John Anderson,50.7%,2046951,43904153,South,7,22.3,-0.5,9,Florida,,,Florida,R,3686930,86513813,55.5,R,1980
VA,Hex,12,11,% shift to the right,John Anderson:	,,,Jimmy Carter,G,,Right,0,ü,40.3,-7.7,-61722,,49,JIMMY CARTER,Ronald Reagan,41.0%,752174,35483883,8,5,5.1,,,● ,),%), (,JOHN ANDERSON,6.6%,95418,5720060, ,"The United States presidential election of 1980 featured a contest between incumbent Democrat Jimmy Carter and his Republican opponent, Ronald Reagan, as well as Republican Congressman John B. Anderson, who ran as an independent. Reagan, aided by the Iran hostage crisis and a worsening economy at home, won the election in a landslide. Carter, after defeating Ted Kennedy for the Democratic nomination, attacked Reagan as a dangerous right-wing radical. For his part, Reagan, the former Governor of California, repeatedly ridiculed Carter, and won a decisive victory; in the simultaneous Congressional elections, Republicans won control of the United States Senate for the first time in 28 years. This election marked the beginning of what is popularly called the ""Reagan Revolution.""",1.3,R,49.3,1,10,12.7,53.0,3.7,153055,12,489,RONALD REAGAN,John Anderson,50.7%,989609,43904153,South,4,11.4,-0.5,8,Virginia,,,Virginia,R,1866032,86513813,53,R,1980
OK,Hex,8,24,% shift to the right,John Anderson:	,,,Jimmy Carter,H,,Right,0,ü,35.0,-13.7,-130416,,49,JIMMY CARTER,Ronald Reagan,41.0%,402026,35483883,4.5,6,3.3,,,● ,),%), (,JOHN ANDERSON,6.6%,38284,5720060, ,"The United States presidential election of 1980 featured a contest between incumbent Democrat Jimmy Carter and his Republican opponent, Ronald Reagan, as well as Republican Congressman John B. Anderson, who ran as an independent. Reagan, aided by the Iran hostage crisis and a worsening economy at home, won the election in a landslide. Carter, after defeating Ted Kennedy for the Democratic nomination, attacked Reagan as a dangerous right-wing radical. For his part, Reagan, the former Governor of California, repeatedly ridiculed Carter, and won a decisive victory; in the simultaneous Congressional elections, Republicans won control of the United States Senate for the first time in 28 years. This election marked the beginning of what is popularly called the ""Reagan Revolution.""",1.3,R,50,1,25,25.5,60.5,10.5,149862,8,489,RONALD REAGAN,John Anderson,50.7%,695570,43904153,South,6,24.2,-0.5,4,Oklahoma,,,Oklahoma,R,1149708,86513813,60.5,R,1980
AK,Hex,3,6,% shift to the right,John Anderson:	,,,Jimmy Carter,H,,Right,0,ü,26.4,-9.3,-2216,,49,JIMMY CARTER,Ronald Reagan,41.0%,41842,35483883,0.5,0,7.0,,,● ,),%), (,JOHN ANDERSON,6.6%,11155,5720060, ,"The United States presidential election of 1980 featured a contest between incumbent Democrat Jimmy Carter and his Republican opponent, Ronald Reagan, as well as Republican Congressman John B. Anderson, who ran as an independent. Reagan, aided by the Iran hostage crisis and a worsening economy at home, won the election in a landslide. Carter, after defeating Ted Kennedy for the Democratic nomination, attacked Reagan as a dangerous right-wing radical. For his part, Reagan, the former Governor of California, repeatedly ridiculed Carter, and won a decisive victory; in the simultaneous Congressional elections, Republicans won control of the United States Senate for the first time in 28 years. This election marked the beginning of what is popularly called the ""Reagan Revolution.""",22.2,R,57.9,1,25,27.9,54.3,-3.6,14557,3,489,RONALD REAGAN,John Anderson,50.7%,86112,43904153,West,0,5.7,-0.5,0,Alaska,,,Alaska,R,158445,86513813,54.3,R,1980
WA,Hex,9,9,% shift to the right,John Anderson:	,,,Jimmy Carter,G,,Right,0,ü,37.3,-8.8,-67130,,49,JIMMY CARTER,Ronald Reagan,41.0%,650193,35483883,1.5,2,10.6,,,● ,),%), (,JOHN ANDERSON,6.6%,185073,5720060, ,"The United States presidential election of 1980 featured a contest between incumbent Democrat Jimmy Carter and his Republican opponent, Ronald Reagan, as well as Republican Congressman John B. Anderson, who ran as an independent. Reagan, aided by the Iran hostage crisis and a worsening economy at home, won the election in a landslide. Carter, after defeating Ted Kennedy for the Democratic nomination, attacked Reagan as a dangerous right-wing radical. For his part, Reagan, the former Governor of California, repeatedly ridiculed Carter, and won a decisive victory; in the simultaneous Congressional elections, Republicans won control of the United States Senate for the first time in 28 years. This election marked the beginning of what is popularly called the ""Reagan Revolution.""",3.9,R,50,1,10,12.4,49.7,-0.300000000,87512,9,489,RONALD REAGAN,John Anderson,50.7%,865244,43904153,West,2,8.5,-0.5,1,Washington,,,Washington,R,1742394,86513813,49.7,R,1980
MT,Hex,4,17,% shift to the right,John Anderson:	,,,Jimmy Carter,H,,Right,0,ü,32.4,-13,-31227,,49,JIMMY CARTER,Ronald Reagan,41.0%,118032,35483883,2.5,2,8.0,,,● ,),%), (,JOHN ANDERSON,6.6%,29281,5720060, ,"The United States presidential election of 1980 featured a contest between incumbent Democrat Jimmy Carter and his Republican opponent, Ronald Reagan, as well as Republican Congressman John B. Anderson, who ran as an independent. Reagan, aided by the Iran hostage crisis and a worsening economy at home, won the election in a landslide. Carter, after defeating Ted Kennedy for the Democratic nomination, attacked Reagan as a dangerous right-wing radical. For his part, Reagan, the former Governor of California, repeatedly ridiculed Carter, and won a decisive victory; in the simultaneous Congressional elections, Republicans won control of the United States Senate for the first time in 28 years. This election marked the beginning of what is popularly called the ""Reagan Revolution.""",7.4,R,52.8,1,20,24.4,56.8,4,33111,4,489,RONALD REAGAN,John Anderson,50.7%,206814,43904153,West,2,17.0,-0.5,3,Montana,,,Montana,R,363952,86513813,56.8,R,1980
ID,Hex,4,19,% shift to the right,John Anderson:	,,,Jimmy Carter,J,,Right,0,ü,25.2,-11.6,-16357,,49,JIMMY CARTER,Ronald Reagan,41.0%,110192,35483883,2,3,6.2,,,● ,),%), (,JOHN ANDERSON,6.6%,27058,5720060, ,"The United States presidential election of 1980 featured a contest between incumbent Democrat Jimmy Carter and his Republican opponent, Ronald Reagan, as well as Republican Congressman John B. Anderson, who ran as an independent. Reagan, aided by the Iran hostage crisis and a worsening economy at home, won the election in a landslide. Carter, after defeating Ted Kennedy for the Democratic nomination, attacked Reagan as a dangerous right-wing radical. For his part, Reagan, the former Governor of California, repeatedly ridiculed Carter, and won a decisive victory; in the simultaneous Congressional elections, Republicans won control of the United States Senate for the first time in 28 years. This election marked the beginning of what is popularly called the ""Reagan Revolution.""",22.5,R,59.3,1,40,41.3,66.5,7.2,86548,4,489,RONALD REAGAN,John Anderson,50.7%,290699,43904153,West,2,18.8,-0.5,2,Idaho,,,Idaho,R,437431,86513813,66.5,R,1980
WY,Hex,3,15,% shift to the right,John Anderson:	,,,Jimmy Carter,I,,Right,0,ü,28.0,-11.8,-12812,,49,JIMMY CARTER,Ronald Reagan,41.0%,49427,35483883,3,3,6.8,,,● ,),%), (,JOHN ANDERSON,6.6%,12072,5720060, ,"The United States presidential election of 1980 featured a contest between incumbent Democrat Jimmy Carter and his Republican opponent, Ronald Reagan, as well as Republican Congressman John B. Anderson, who ran as an independent. Reagan, aided by the Iran hostage crisis and a worsening economy at home, won the election in a landslide. Carter, after defeating Ted Kennedy for the Democratic nomination, attacked Reagan as a dangerous right-wing radical. For his part, Reagan, the former Governor of California, repeatedly ridiculed Carter, and won a decisive victory; in the simultaneous Congressional elections, Republicans won control of the United States Senate for the first time in 28 years. This election marked the beginning of what is popularly called the ""Reagan Revolution.""",19.5,R,59.3,1,30,34.6,62.6,3.3,17983,3,489,RONALD REAGAN,John Anderson,50.7%,110700,43904153,West,3,15.1,-0.5,3,Wyoming,,,Wyoming,R,176713,86513813,62.6,R,1980
OR,Hex,6,9,% shift to the right,John Anderson:	,,,Jimmy Carter,F,,Right,0,ü,38.7,-8.9,-33517,,49,JIMMY CARTER,Ronald Reagan,41.0%,456890,35483883,1.5,4,9.5,,,● ,),%), (,JOHN ANDERSON,6.6%,112389,5720060, ,"The United States presidential election of 1980 featured a contest between incumbent Democrat Jimmy Carter and his Republican opponent, Ronald Reagan, as well as Republican Congressman John B. Anderson, who ran as an independent. Reagan, aided by the Iran hostage crisis and a worsening economy at home, won the election in a landslide. Carter, after defeating Ted Kennedy for the Democratic nomination, attacked Reagan as a dangerous right-wing radical. For his part, Reagan, the former Governor of California, repeatedly ridiculed Carter, and won a decisive victory; in the simultaneous Congressional elections, Republicans won control of the United States Senate for the first time in 28 years. This election marked the beginning of what is popularly called the ""Reagan Revolution.""",0.200000000,R,47.8,1,5,9.600000000,48.3,0.5,78924,6,489,RONALD REAGAN,John Anderson,50.7%,571044,43904153,West,3,9.4,-0.5,1,Oregon,,,Oregon,R,1181516,86513813,48.3,R,1980
NV,Hex,3,31,% shift to the right,John Anderson:	,,,Jimmy Carter,I,,Right,0,ü,26.9,-18.9,-25813,,49,JIMMY CARTER,Ronald Reagan,41.0%,66666,35483883,2.5,4,7.1,,,● ,),%), (,JOHN ANDERSON,6.6%,17651,5720060, ,"The United States presidential election of 1980 featured a contest between incumbent Democrat Jimmy Carter and his Republican opponent, Ronald Reagan, as well as Republican Congressman John B. Anderson, who ran as an independent. Reagan, aided by the Iran hostage crisis and a worsening economy at home, won the election in a landslide. Carter, after defeating Ted Kennedy for the Democratic nomination, attacked Reagan as a dangerous right-wing radical. For his part, Reagan, the former Governor of California, repeatedly ridiculed Carter, and won a decisive victory; in the simultaneous Congressional elections, Republicans won control of the United States Senate for the first time in 28 years. This election marked the beginning of what is popularly called the ""Reagan Revolution.""",4.400000000,R,50.2,1,35,35.6,62.5,12.3,53744,3,489,RONALD REAGAN,John Anderson,50.7%,155017,43904153,West,3,31.2,-0.5,2,Nevada,,,Nevada,R,247885,86513813,62.5,R,1980
CO,Hex,7,13,% shift to the right,John Anderson:	,,,Jimmy Carter,H,,Right,0,ü,31.1,-11.5,-92380,,49,JIMMY CARTER,Ronald Reagan,41.0%,367973,35483883,3.5,4,11.0,,,● ,),%), (,JOHN ANDERSON,6.6%,130633,5720060, ,"The United States presidential election of 1980 featured a contest between incumbent Democrat Jimmy Carter and his Republican opponent, Ronald Reagan, as well as Republican Congressman John B. Anderson, who ran as an independent. Reagan, aided by the Iran hostage crisis and a worsening economy at home, won the election in a landslide. Carter, after defeating Ted Kennedy for the Democratic nomination, attacked Reagan as a dangerous right-wing radical. For his part, Reagan, the former Governor of California, repeatedly ridiculed Carter, and won a decisive victory; in the simultaneous Congressional elections, Republicans won control of the United States Senate for the first time in 28 years. This election marked the beginning of what is popularly called the ""Reagan Revolution.""",11.4,R,54,1,20,24,55.1,1.1,67897,7,489,RONALD REAGAN,John Anderson,50.7%,652264,43904153,West,4,12.6,-0.5,3,Colorado,,,Colorado,R,1184415,86513813,55.1,R,1980
CA,Hex,45,15,% shift to the right,John Anderson:	,,,Jimmy Carter,G,,Right,0,ü,35.9,-11.7,-658623,,49,JIMMY CARTER,Ronald Reagan,41.0%,3083661,35483883,2,5,8.6,,,● ,),%), (,JOHN ANDERSON,6.6%,739833,5720060, ,"The United States presidential election of 1980 featured a contest between incumbent Democrat Jimmy Carter and his Republican opponent, Ronald Reagan, as well as Republican Congressman John B. Anderson, who ran as an independent. Reagan, aided by the Iran hostage crisis and a worsening economy at home, won the election in a landslide. Carter, after defeating Ted Kennedy for the Democratic nomination, attacked Reagan as a dangerous right-wing radical. For his part, Reagan, the former Governor of California, repeatedly ridiculed Carter, and won a decisive victory; in the simultaneous Congressional elections, Republicans won control of the United States Senate for the first time in 28 years. This election marked the beginning of what is popularly called the ""Reagan Revolution.""",1.7,R,49.3,1,15,16.8,52.7,3.400000000,642614,45,489,RONALD REAGAN,John Anderson,50.7%,4524858,43904153,West,4,15.1,-0.5,1,California,,,California,R,8587063,86513813,52.7,R,1980
UT,Hex,4,23,% shift to the right,John Anderson:	,,,Jimmy Carter,J,,Right,0,ü,20.6,-13,-57844,,49,JIMMY CARTER,Ronald Reagan,41.0%,124266,35483883,4,5,5.0,,,● ,),%), (,JOHN ANDERSON,6.6%,30284,5720060, ,"The United States presidential election of 1980 featured a contest between incumbent Democrat Jimmy Carter and his Republican opponent, Ronald Reagan, as well as Republican Congressman John B. Anderson, who ran as an independent. Reagan, aided by the Iran hostage crisis and a worsening economy at home, won the election in a landslide. Carter, after defeating Ted Kennedy for the Democratic nomination, attacked Reagan as a dangerous right-wing radical. For his part, Reagan, the former Governor of California, repeatedly ridiculed Carter, and won a decisive victory; in the simultaneous Congressional elections, Republicans won control of the United States Senate for the first time in 28 years. This election marked the beginning of what is popularly called the ""Reagan Revolution.""",28.8,R,62.4,1,50,52.2,72.8,10.4,101779,4,489,RONALD REAGAN,John Anderson,50.7%,439687,43904153,West,4,23.4,-0.5,2,Utah,,,Utah,R,604222,86513813,72.8,R,1980
AZ,Hex,6,16,% shift to the right,John Anderson:	,,,Jimmy Carter,I,,Right,0,ü,28.2,-11.6,-48759,,49,JIMMY CARTER,Ronald Reagan,41.0%,246843,35483883,3,5,8.8,,,● ,),%), (,JOHN ANDERSON,6.6%,76952,5720060, ,"The United States presidential election of 1980 featured a contest between incumbent Democrat Jimmy Carter and his Republican opponent, Ronald Reagan, as well as Republican Congressman John B. Anderson, who ran as an independent. Reagan, aided by the Iran hostage crisis and a worsening economy at home, won the election in a landslide. Carter, after defeating Ted Kennedy for the Democratic nomination, attacked Reagan as a dangerous right-wing radical. For his part, Reagan, the former Governor of California, repeatedly ridiculed Carter, and won a decisive victory; in the simultaneous Congressional elections, Republicans won control of the United States Senate for the first time in 28 years. This election marked the beginning of what is popularly called the ""Reagan Revolution.""",16.6,R,56.4,1,30,32.4,60.6,4.2,111046,6,489,RONALD REAGAN,John Anderson,50.7%,529688,43904153,West,5,15.8,-0.5,2,Arizona,,,Arizona,R,873945,86513813,60.6,R,1980
