Abbreviation,Selected Map,Total_EV,Shift,Shift tooltip,I_Nominee tooltip,blank,D-Check,D_Nominee_prop,Color Bins,Independent spacing,Direction,Spacer,R-Check,D_Percentage,D_DifferencePercentage,D_Difference,D_EV,D_EV_Total,D_Nominee,R_Nominee_prop,D_PopularPercentage,D_Votes,D_Votes_Total,Hex_Column,Hex_Row,I_Percentage,I_EV,I_EV_Total,I_Nominee tooltip ●,I_Nominee tooltip ')',I_Nominee tooltip 'Percentage)',I_Nominee tooltip '(',I_Nominee,I_PopularPercentage,I_Votes,I_Votes_Total,Independent spacing (popular),Info,Last_RD_Difference,Last_Winner,Last_Winner_Percentage,Number of Records,RD_Difference (bin),RD_Difference,R_Percentage,R_DifferencePercentage,R_Difference,R_EV,R_EV_Total,R_Nominee,I_Nominee_prop,R_PopularPercentage,R_Votes,R_Votes_Total,Region,Row,Shift :(l/r),Shift abbreviation,Space,State (red),State (blue),State (yellow),State,State_Winner,Total Votes,Total_Votes_USA,Winner_Percentage,Winning Party,Year
OH,Hex,26,28,% shift to the right,George Wallace:	,,,Hubert Humphrey,F,      ,Right,0,ü,42.9,-20,-797745,,191,HUBERT HUMPHREY,Richard Nixon,42.7%,1700586,31275166,8,3,11.8,,46,● ,),%), (,GEORGE WALLACE,13.5%,467495,9906473,        ,"The election of 1968 was a wrenching national experience, conducted against a backdrop that included the assassination of civil rights leader Martin Luther King, Jr. and subsequent race riots across the nation, the assassination of presidential candidate Robert F. Kennedy, widespread demonstrations against the Vietnam War across college campuses, and violent confrontations between police and anti-war protesters at the 1968 Democratic National Convention. Nixon ran on a campaign that promised to restore ""law and order"". The election also featured a strong third party effort by former Alabama Governor George Wallace. Because Wallace's campaign promoted segregation, he proved to be a formidable candidate in the South; no third-party candidate has won an entire state's electoral votes since.",-25.8,D,-62.9,1,0,2.3,45.2,8.1,320149,26,301,RICHARD NIXON,George Wallace,43.4%,1791014,31785480,Midwest,3,28.1,-0.5,7,Ohio,,,Ohio,R,3959698,73211875,45.2,R,1968
NE,Hex,5,33,% shift to the right,George Wallace:	,,,Hubert Humphrey,H,      ,Right,0,ü,31.8,-20.8,-136523,,191,HUBERT HUMPHREY,Richard Nixon,42.7%,170784,31275166,4.5,4,8.4,,46,● ,),%), (,GEORGE WALLACE,13.5%,44904,9906473,        ,"The election of 1968 was a wrenching national experience, conducted against a backdrop that included the assassination of civil rights leader Martin Luther King, Jr. and subsequent race riots across the nation, the assassination of presidential candidate Robert F. Kennedy, widespread demonstrations against the Vietnam War across college campuses, and violent confrontations between police and anti-war protesters at the 1968 Democratic National Convention. Nixon ran on a campaign that promised to restore ""law and order"". The election also featured a strong third party effort by former Alabama Governor George Wallace. Because Wallace's campaign promoted segregation, he proved to be a formidable candidate in the South; no third-party candidate has won an entire state's electoral votes since.",-5.2,D,-52.6,1,25,28,59.8,12.4,44316,5,301,RICHARD NIXON,George Wallace,43.4%,321163,31785480,Midwest,4,33.2,-0.5,4,Nebraska,,,Nebraska,R,536851,73211875,59.8,R,1968
MO,Hex,12,29,% shift to the right,George Wallace:	,,,Hubert Humphrey,F,      ,Right,0,ü,43.7,-20.3,-372900,,191,HUBERT HUMPHREY,Richard Nixon,42.7%,791444,31275166,5.5,4,11.4,,46,● ,),%), (,GEORGE WALLACE,13.5%,206126,9906473,        ,"The election of 1968 was a wrenching national experience, conducted against a backdrop that included the assassination of civil rights leader Martin Luther King, Jr. and subsequent race riots across the nation, the assassination of presidential candidate Robert F. Kennedy, widespread demonstrations against the Vietnam War across college campuses, and violent confrontations between police and anti-war protesters at the 1968 Democratic National Convention. Nixon ran on a campaign that promised to restore ""law and order"". The election also featured a strong third party effort by former Alabama Governor George Wallace. Because Wallace's campaign promoted segregation, he proved to be a formidable candidate in the South; no third-party candidate has won an entire state's electoral votes since.",-28,D,-64,1,0,1.2,44.9,8.9,158397,12,301,RICHARD NIXON,George Wallace,43.4%,811932,31785480,Midwest,4,29.2,-0.5,5,Missouri,,,Missouri,R,1809502,73211875,44.9,R,1968
KS,Hex,7,29,% shift to the right,George Wallace:	,,,Hubert Humphrey,H,      ,Right,0,ü,34.7,-19.4,-161032,,191,HUBERT HUMPHREY,Richard Nixon,42.7%,302996,31275166,5,5,10.2,,46,● ,),%), (,GEORGE WALLACE,13.5%,88921,9906473,        ,"The election of 1968 was a wrenching national experience, conducted against a backdrop that included the assassination of civil rights leader Martin Luther King, Jr. and subsequent race riots across the nation, the assassination of presidential candidate Robert F. Kennedy, widespread demonstrations against the Vietnam War across college campuses, and violent confrontations between police and anti-war protesters at the 1968 Democratic National Convention. Nixon ran on a campaign that promised to restore ""law and order"". The election also featured a strong third party effort by former Alabama Governor George Wallace. Because Wallace's campaign promoted segregation, he proved to be a formidable candidate in the South; no third-party candidate has won an entire state's electoral votes since.",-9,D,-54.1,1,20,20.1,54.8,9.7,92095,7,301,RICHARD NIXON,George Wallace,43.4%,478674,31785480,Midwest,5,29.1,-0.5,4,Kansas,,,Kansas,R,872783,73211875,54.8,R,1968
VT,Hex,3,42,% shift to the right,George Wallace:	,,,Hubert Humphrey,F,      ,Right,0,ü,43.5,-22.8,-37872,,191,HUBERT HUMPHREY,Richard Nixon,42.7%,70255,31275166,10,1,3.2,,46,● ,),%), (,GEORGE WALLACE,13.5%,5104,9906473,        ,"The election of 1968 was a wrenching national experience, conducted against a backdrop that included the assassination of civil rights leader Martin Luther King, Jr. and subsequent race riots across the nation, the assassination of presidential candidate Robert F. Kennedy, widespread demonstrations against the Vietnam War across college campuses, and violent confrontations between police and anti-war protesters at the 1968 Democratic National Convention. Nixon ran on a campaign that promised to restore ""law and order"". The election also featured a strong third party effort by former Alabama Governor George Wallace. Because Wallace's campaign promoted segregation, he proved to be a formidable candidate in the South; no third-party candidate has won an entire state's electoral votes since.",-32.6,D,-66.3,1,5,9.3,52.8,19.1,30200,3,301,RICHARD NIXON,George Wallace,43.4%,85142,31785480,Northeast,1,41.9,-0.5,10,Vermont,,,Vermont,R,161404,73211875,52.8,R,1968
NH,Hex,4,36,% shift to the right,George Wallace:	,,,Hubert Humphrey,F,      ,Right,0,ü,43.9,-20,-53475,,191,HUBERT HUMPHREY,Richard Nixon,42.7%,130589,31275166,11,1,3.8,,46,● ,),%), (,GEORGE WALLACE,13.5%,11173,9906473,        ,"The election of 1968 was a wrenching national experience, conducted against a backdrop that included the assassination of civil rights leader Martin Luther King, Jr. and subsequent race riots across the nation, the assassination of presidential candidate Robert F. Kennedy, widespread demonstrations against the Vietnam War across college campuses, and violent confrontations between police and anti-war protesters at the 1968 Democratic National Convention. Nixon ran on a campaign that promised to restore ""law and order"". The election also featured a strong third party effort by former Alabama Governor George Wallace. Because Wallace's campaign promoted segregation, he proved to be a formidable candidate in the South; no third-party candidate has won an entire state's electoral votes since.",-27.8,D,-63.9,1,5,8.2,52.1,16,50874,4,301,RICHARD NIXON,George Wallace,43.4%,154903,31785480,Northeast,1,36.0,-0.5,11,New Hampshire,,,New Hampshire,R,297298,73211875,52.1,R,1968
NJ,Hex,17,34,% shift to the right,George Wallace:	,,,Hubert Humphrey,F,      ,Right,0,ü,44.0,-21.6,-604025,,191,HUBERT HUMPHREY,Richard Nixon,42.7%,1264206,31275166,10,3,9.1,,46,● ,),%), (,GEORGE WALLACE,13.5%,262187,9906473,        ,"The election of 1968 was a wrenching national experience, conducted against a backdrop that included the assassination of civil rights leader Martin Luther King, Jr. and subsequent race riots across the nation, the assassination of presidential candidate Robert F. Kennedy, widespread demonstrations against the Vietnam War across college campuses, and violent confrontations between police and anti-war protesters at the 1968 Democratic National Convention. Nixon ran on a campaign that promised to restore ""law and order"". The election also featured a strong third party effort by former Alabama Governor George Wallace. Because Wallace's campaign promoted segregation, he proved to be a formidable candidate in the South; no third-party candidate has won an entire state's electoral votes since.",-31.7,D,-65.6,1,0,2.1,46.1,12.2,361293,17,301,RICHARD NIXON,George Wallace,43.4%,1325467,31785480,Northeast,3,33.8,-0.5,9,New Jersey,,,New Jersey,R,2875395,73211875,46.1,R,1968
DE,Hex,3,26,% shift to the right,George Wallace:	,,,Hubert Humphrey,F,      ,Right,0,ü,41.6,-19.3,-33510,,191,HUBERT HUMPHREY,Richard Nixon,42.7%,89194,31275166,9.5,4,13.3,,46,● ,),%), (,GEORGE WALLACE,13.5%,28459,9906473,        ,"The election of 1968 was a wrenching national experience, conducted against a backdrop that included the assassination of civil rights leader Martin Luther King, Jr. and subsequent race riots across the nation, the assassination of presidential candidate Robert F. Kennedy, widespread demonstrations against the Vietnam War across college campuses, and violent confrontations between police and anti-war protesters at the 1968 Democratic National Convention. Nixon ran on a campaign that promised to restore ""law and order"". The election also featured a strong third party effort by former Alabama Governor George Wallace. Because Wallace's campaign promoted segregation, he proved to be a formidable candidate in the South; no third-party candidate has won an entire state's electoral votes since.",-22.1,D,-60.9,1,0,3.5,45.1,6.3,18636,3,301,RICHARD NIXON,George Wallace,43.4%,96714,31785480,Northeast,5,25.6,-0.5,9,Delaware,,,Delaware,R,214367,73211875,45.1,R,1968
KY,Hex,9,35,% shift to the right,George Wallace:	,,,Hubert Humphrey,F,      ,Right,0,ü,37.6,-26.4,-272118,,191,HUBERT HUMPHREY,Richard Nixon,42.7%,397541,31275166,6.5,4,18.3,,46,● ,),%), (,GEORGE WALLACE,13.5%,193098,9906473,        ,"The election of 1968 was a wrenching national experience, conducted against a backdrop that included the assassination of civil rights leader Martin Luther King, Jr. and subsequent race riots across the nation, the assassination of presidential candidate Robert F. Kennedy, widespread demonstrations against the Vietnam War across college campuses, and violent confrontations between police and anti-war protesters at the 1968 Democratic National Convention. Nixon ran on a campaign that promised to restore ""law and order"". The election also featured a strong third party effort by former Alabama Governor George Wallace. Because Wallace's campaign promoted segregation, he proved to be a formidable candidate in the South; no third-party candidate has won an entire state's electoral votes since.",-28.3,D,-64,1,5,6.2,43.8,8.100000000,89434,9,301,RICHARD NIXON,George Wallace,43.4%,462411,31785480,South,4,34.5,-0.5,6,Kentucky,,,Kentucky,R,1055893,73211875,43.8,R,1968
VA,Hex,12,18,% shift to the right,George Wallace:	,,,Hubert Humphrey,G,      ,Right,0,ü,32.5,-21,-115651,,191,HUBERT HUMPHREY,Richard Nixon,42.7%,442387,31275166,8,5,23.6,,46,● ,),%), (,GEORGE WALLACE,13.5%,321833,9906473,        ,"The election of 1968 was a wrenching national experience, conducted against a backdrop that included the assassination of civil rights leader Martin Luther King, Jr. and subsequent race riots across the nation, the assassination of presidential candidate Robert F. Kennedy, widespread demonstrations against the Vietnam War across college campuses, and violent confrontations between police and anti-war protesters at the 1968 Democratic National Convention. Nixon ran on a campaign that promised to restore ""law and order"". The election also featured a strong third party effort by former Alabama Governor George Wallace. Because Wallace's campaign promoted segregation, he proved to be a formidable candidate in the South; no third-party candidate has won an entire state's electoral votes since.",-7.3,D,-53.5,1,10,10.9,43.4,-2.8,108985,12,301,RICHARD NIXON,George Wallace,43.4%,590319,31785480,South,4,18.2,-0.5,8,Virginia,,,Virginia,R,1361491,73211875,43.4,R,1968
TN,Hex,11,21,% shift to the right,George Wallace:	,,,Hubert Humphrey,F,      ,Right,0,ü,28.1,-27.4,-283714,,191,HUBERT HUMPHREY,Richard Nixon,42.7%,351233,31275166,7,5,34.0,,46,● ,),%), (,GEORGE WALLACE,13.5%,424792,9906473,        ,"The election of 1968 was a wrenching national experience, conducted against a backdrop that included the assassination of civil rights leader Martin Luther King, Jr. and subsequent race riots across the nation, the assassination of presidential candidate Robert F. Kennedy, widespread demonstrations against the Vietnam War across college campuses, and violent confrontations between police and anti-war protesters at the 1968 Democratic National Convention. Nixon ran on a campaign that promised to restore ""law and order"". The election also featured a strong third party effort by former Alabama Governor George Wallace. Because Wallace's campaign promoted segregation, he proved to be a formidable candidate in the South; no third-party candidate has won an entire state's electoral votes since.",-11,D,-55.5,1,5,9.7,37.8,-6.7,-36373,11,301,RICHARD NIXON,George Wallace,43.4%,472592,31785480,South,5,20.7,-0.5,6,Tennessee,,,Tennessee,R,1248617,73211875,37.8,R,1968
NC,Hex,12,23,% shift to the right,George Wallace:	,,,Hubert Humphrey,G,      ,Right,0,ü,29.2,-27,-336026,,191,HUBERT HUMPHREY,Richard Nixon,42.7%,464113,31275166,9,5,31.3,1,46,● ,),%), (,GEORGE WALLACE,13.5%,496188,9906473,        ,"The election of 1968 was a wrenching national experience, conducted against a backdrop that included the assassination of civil rights leader Martin Luther King, Jr. and subsequent race riots across the nation, the assassination of presidential candidate Robert F. Kennedy, widespread demonstrations against the Vietnam War across college campuses, and violent confrontations between police and anti-war protesters at the 1968 Democratic National Convention. Nixon ran on a campaign that promised to restore ""law and order"". The election also featured a strong third party effort by former Alabama Governor George Wallace. Because Wallace's campaign promoted segregation, he proved to be a formidable candidate in the South; no third-party candidate has won an entire state's electoral votes since.",-12.4,D,-56.2,1,10,10.3,39.5,-4.3,2348,12,301,RICHARD NIXON,George Wallace,43.4%,627192,31785480,South,5,22.7,-0.5,7,North Carolina,,,North Carolina,R,1587493,73211875,39.5,R,1968
OK,Hex,8,27,% shift to the right,George Wallace:	,,,Hubert Humphrey,G,      ,Right,0,ü,32.0,-23.7,-218176,,191,HUBERT HUMPHREY,Richard Nixon,42.7%,301658,31275166,4.5,6,20.3,,46,● ,),%), (,GEORGE WALLACE,13.5%,191731,9906473,        ,"The election of 1968 was a wrenching national experience, conducted against a backdrop that included the assassination of civil rights leader Martin Luther King, Jr. and subsequent race riots across the nation, the assassination of presidential candidate Robert F. Kennedy, widespread demonstrations against the Vietnam War across college campuses, and violent confrontations between police and anti-war protesters at the 1968 Democratic National Convention. Nixon ran on a campaign that promised to restore ""law and order"". The election also featured a strong third party effort by former Alabama Governor George Wallace. Because Wallace's campaign promoted segregation, he proved to be a formidable candidate in the South; no third-party candidate has won an entire state's electoral votes since.",-11.4,D,-55.7,1,15,15.7,47.7,3.400000000,37032,8,301,RICHARD NIXON,George Wallace,43.4%,449697,31785480,South,6,27.1,-0.5,4,Oklahoma,,,Oklahoma,R,943086,73211875,47.7,R,1968
FL,Hex,14,12,% shift to the right,George Wallace:	,,,Hubert Humphrey,F,      ,Right,0,ü,30.9,-20.2,-271746,,191,HUBERT HUMPHREY,Richard Nixon,42.7%,676794,31275166,8.5,8,28.5,,46,● ,),%), (,GEORGE WALLACE,13.5%,624207,9906473,        ,"The election of 1968 was a wrenching national experience, conducted against a backdrop that included the assassination of civil rights leader Martin Luther King, Jr. and subsequent race riots across the nation, the assassination of presidential candidate Robert F. Kennedy, widespread demonstrations against the Vietnam War across college campuses, and violent confrontations between police and anti-war protesters at the 1968 Democratic National Convention. Nixon ran on a campaign that promised to restore ""law and order"". The election also featured a strong third party effort by former Alabama Governor George Wallace. Because Wallace's campaign promoted segregation, he proved to be a formidable candidate in the South; no third-party candidate has won an entire state's electoral votes since.",-2.2,D,-51.1,1,5,9.6,40.5,-8.4,-19137,14,301,RICHARD NIXON,George Wallace,43.4%,886804,31785480,South,7,11.8,-0.5,9,Florida,,,Florida,R,2187805,73211875,40.5,R,1968
SC,Hex,8,9,% shift to the left,George Wallace:	,,,Hubert Humphrey,F,      ,Left,0,ü,29.6,-11.5,-18237,,191,HUBERT HUMPHREY,Richard Nixon,42.7%,197486,31275166,8.5,6,32.3,,46,● ,),%), (,GEORGE WALLACE,13.5%,215430,9906473,        ,"The election of 1968 was a wrenching national experience, conducted against a backdrop that included the assassination of civil rights leader Martin Luther King, Jr. and subsequent race riots across the nation, the assassination of presidential candidate Robert F. Kennedy, widespread demonstrations against the Vietnam War across college campuses, and violent confrontations between police and anti-war protesters at the 1968 Democratic National Convention. Nixon ran on a campaign that promised to restore ""law and order"". The election also featured a strong third party effort by former Alabama Governor George Wallace. Because Wallace's campaign promoted segregation, he proved to be a formidable candidate in the South; no third-party candidate has won an entire state's electoral votes since.",17.8,R,58.9,1,5,8.5,38.1,-20.8,-54986,8,301,RICHARD NIXON,George Wallace,43.4%,254062,31785480,South,5,-9.3,0.5,8,South Carolina,,,South Carolina,R,666978,73211875,38.1,R,1968
AK,Hex,3,35,% shift to the right,George Wallace:	,,,Hubert Humphrey,F,      ,Right,0,ü,42.6,-23.3,-8918,,191,HUBERT HUMPHREY,Richard Nixon,42.7%,35411,31275166,0.5,0,12.1,,46,● ,),%), (,GEORGE WALLACE,13.5%,10024,9906473,        ,"The election of 1968 was a wrenching national experience, conducted against a backdrop that included the assassination of civil rights leader Martin Luther King, Jr. and subsequent race riots across the nation, the assassination of presidential candidate Robert F. Kennedy, widespread demonstrations against the Vietnam War across college campuses, and violent confrontations between police and anti-war protesters at the 1968 Democratic National Convention. Nixon ran on a campaign that promised to restore ""law and order"". The election also featured a strong third party effort by former Alabama Governor George Wallace. Because Wallace's campaign promoted segregation, he proved to be a formidable candidate in the South; no third-party candidate has won an entire state's electoral votes since.",-31.8,D,-65.9,1,0,2.7,45.3,11.2,14670,3,301,RICHARD NIXON,George Wallace,43.4%,37600,31785480,West,0,34.5,-0.5,0,Alaska,,,Alaska,R,83035,73211875,45.3,R,1968
MT,Hex,4,27,% shift to the right,George Wallace:	,,,Hubert Humphrey,F,      ,Right,0,ü,41.6,-17.3,-50129,,191,HUBERT HUMPHREY,Richard Nixon,42.7%,114117,31275166,2.5,2,7.3,,46,● ,),%), (,GEORGE WALLACE,13.5%,20015,9906473,        ,"The election of 1968 was a wrenching national experience, conducted against a backdrop that included the assassination of civil rights leader Martin Luther King, Jr. and subsequent race riots across the nation, the assassination of presidential candidate Robert F. Kennedy, widespread demonstrations against the Vietnam War across college campuses, and violent confrontations between police and anti-war protesters at the 1968 Democratic National Convention. Nixon ran on a campaign that promised to restore ""law and order"". The election also featured a strong third party effort by former Alabama Governor George Wallace. Because Wallace's campaign promoted segregation, he proved to be a formidable candidate in the South; no third-party candidate has won an entire state's electoral votes since.",-18.3,D,-58.9,1,5,9,50.6,10,25803,4,301,RICHARD NIXON,George Wallace,43.4%,138835,31785480,West,2,27.3,-0.5,3,Montana,,,Montana,R,274404,73211875,50.6,R,1968
ID,Hex,4,28,% shift to the right,George Wallace:	,,,Hubert Humphrey,H,      ,Right,0,ü,30.7,-20.2,-59647,,191,HUBERT HUMPHREY,Richard Nixon,42.7%,89273,31275166,2,3,12.5,,46,● ,),%), (,GEORGE WALLACE,13.5%,36541,9906473,        ,"The election of 1968 was a wrenching national experience, conducted against a backdrop that included the assassination of civil rights leader Martin Luther King, Jr. and subsequent race riots across the nation, the assassination of presidential candidate Robert F. Kennedy, widespread demonstrations against the Vietnam War across college campuses, and violent confrontations between police and anti-war protesters at the 1968 Democratic National Convention. Nixon ran on a campaign that promised to restore ""law and order"". The election also featured a strong third party effort by former Alabama Governor George Wallace. Because Wallace's campaign promoted segregation, he proved to be a formidable candidate in the South; no third-party candidate has won an entire state's electoral votes since.",-1.8,D,-50.9,1,25,26.1,56.8,7.7,21812,4,301,RICHARD NIXON,George Wallace,43.4%,165369,31785480,West,2,27.9,-0.5,2,Idaho,,,Idaho,R,291183,73211875,56.8,R,1968
WY,Hex,3,34,% shift to the right,George Wallace:	,,,Hubert Humphrey,H,      ,Right,0,ü,35.5,-21.1,-35545,,191,HUBERT HUMPHREY,Richard Nixon,42.7%,45173,31275166,3,3,8.7,,46,● ,),%), (,GEORGE WALLACE,13.5%,11105,9906473,        ,"The election of 1968 was a wrenching national experience, conducted against a backdrop that included the assassination of civil rights leader Martin Luther King, Jr. and subsequent race riots across the nation, the assassination of presidential candidate Robert F. Kennedy, widespread demonstrations against the Vietnam War across college campuses, and violent confrontations between police and anti-war protesters at the 1968 Democratic National Convention. Nixon ran on a campaign that promised to restore ""law and order"". The election also featured a strong third party effort by former Alabama Governor George Wallace. Because Wallace's campaign promoted segregation, he proved to be a formidable candidate in the South; no third-party candidate has won an entire state's electoral votes since.",-13.2,D,-56.6,1,20,20.3,55.8,12.4,8929,3,301,RICHARD NIXON,George Wallace,43.4%,70927,31785480,West,3,33.5,-0.5,3,Wyoming,,,Wyoming,R,127205,73211875,55.8,R,1968
OR,Hex,6,34,% shift to the right,George Wallace:	,,,Hubert Humphrey,F,      ,Right,0,ü,43.8,-19.9,-142151,,191,HUBERT HUMPHREY,Richard Nixon,42.7%,358866,31275166,1.5,4,6.1,,46,● ,),%), (,GEORGE WALLACE,13.5%,49683,9906473,        ,"The election of 1968 was a wrenching national experience, conducted against a backdrop that included the assassination of civil rights leader Martin Luther King, Jr. and subsequent race riots across the nation, the assassination of presidential candidate Robert F. Kennedy, widespread demonstrations against the Vietnam War across college campuses, and violent confrontations between police and anti-war protesters at the 1968 Democratic National Convention. Nixon ran on a campaign that promised to restore ""law and order"". The election also featured a strong third party effort by former Alabama Governor George Wallace. Because Wallace's campaign promoted segregation, he proved to be a formidable candidate in the South; no third-party candidate has won an entire state's electoral votes since.",-27.7,D,-63.7,1,5,6,49.8,13.8,125654,6,301,RICHARD NIXON,George Wallace,43.4%,408433,31785480,West,3,33.7,-0.5,1,Oregon,,,Oregon,R,819622,73211875,49.8,R,1968
NV,Hex,3,25,% shift to the right,George Wallace:	,,,Hubert Humphrey,F,      ,Right,0,ü,39.3,-19.3,-18741,,191,HUBERT HUMPHREY,Richard Nixon,42.7%,60598,31275166,2.5,4,13.2,,46,● ,),%), (,GEORGE WALLACE,13.5%,20432,9906473,        ,"The election of 1968 was a wrenching national experience, conducted against a backdrop that included the assassination of civil rights leader Martin Luther King, Jr. and subsequent race riots across the nation, the assassination of presidential candidate Robert F. Kennedy, widespread demonstrations against the Vietnam War across college campuses, and violent confrontations between police and anti-war protesters at the 1968 Democratic National Convention. Nixon ran on a campaign that promised to restore ""law and order"". The election also featured a strong third party effort by former Alabama Governor George Wallace. Because Wallace's campaign promoted segregation, he proved to be a formidable candidate in the South; no third-party candidate has won an entire state's electoral votes since.",-17.2,D,-58.6,1,5,8.2,47.5,6.1,17094,3,301,RICHARD NIXON,George Wallace,43.4%,73188,31785480,West,3,25.4,-0.5,2,Nevada,,,Nevada,R,154218,73211875,47.5,R,1968
CO,Hex,6,32,% shift to the right,George Wallace:	,,,Hubert Humphrey,F,      ,Right,0,ü,41.3,-20,-140850,,191,HUBERT HUMPHREY,Richard Nixon,42.7%,335174,31275166,3.5,4,7.5,,46,● ,),%), (,GEORGE WALLACE,13.5%,60813,9906473,        ,"The election of 1968 was a wrenching national experience, conducted against a backdrop that included the assassination of civil rights leader Martin Luther King, Jr. and subsequent race riots across the nation, the assassination of presidential candidate Robert F. Kennedy, widespread demonstrations against the Vietnam War across college campuses, and violent confrontations between police and anti-war protesters at the 1968 Democratic National Convention. Nixon ran on a campaign that promised to restore ""law and order"". The election also featured a strong third party effort by former Alabama Governor George Wallace. Because Wallace's campaign promoted segregation, he proved to be a formidable candidate in the South; no third-party candidate has won an entire state's electoral votes since.",-23.1,D,-61.3,1,5,9.2,50.5,12.3,112578,6,301,RICHARD NIXON,George Wallace,43.4%,409345,31785480,West,4,32.3,-0.5,3,Colorado,,,Colorado,R,811199,73211875,50.5,R,1968
CA,Hex,40,21,% shift to the right,George Wallace:	,,,Hubert Humphrey,F,      ,Right,0,ü,44.7,-14.4,-927559,,191,HUBERT HUMPHREY,Richard Nixon,42.7%,3244318,31275166,2,5,6.7,,46,● ,),%), (,GEORGE WALLACE,13.5%,487270,9906473,        ,"The election of 1968 was a wrenching national experience, conducted against a backdrop that included the assassination of civil rights leader Martin Luther King, Jr. and subsequent race riots across the nation, the assassination of presidential candidate Robert F. Kennedy, widespread demonstrations against the Vietnam War across college campuses, and violent confrontations between police and anti-war protesters at the 1968 Democratic National Convention. Nixon ran on a campaign that promised to restore ""law and order"". The election also featured a strong third party effort by former Alabama Governor George Wallace. Because Wallace's campaign promoted segregation, he proved to be a formidable candidate in the South; no third-party candidate has won an entire state's electoral votes since.",-18.3,D,-59.1,1,0,3.100000000,47.8,7,588556,40,301,RICHARD NIXON,George Wallace,43.4%,3467664,31785480,West,4,21.4,-0.5,1,California,,,California,R,7251587,73211875,47.8,R,1968
UT,Hex,4,35,% shift to the right,George Wallace:	,,,Hubert Humphrey,H,      ,Right,0,ü,31.1,-23.6,-62963,,191,HUBERT HUMPHREY,Richard Nixon,42.7%,156665,31275166,4,5,6.4,,46,● ,),%), (,GEORGE WALLACE,13.5%,26906,9906473,        ,"The election of 1968 was a wrenching national experience, conducted against a backdrop that included the assassination of civil rights leader Martin Luther King, Jr. and subsequent race riots across the nation, the assassination of presidential candidate Robert F. Kennedy, widespread demonstrations against the Vietnam War across college campuses, and violent confrontations between police and anti-war protesters at the 1968 Democratic National Convention. Nixon ran on a campaign that promised to restore ""law and order"". The election also featured a strong third party effort by former Alabama Governor George Wallace. Because Wallace's campaign promoted segregation, he proved to be a formidable candidate in the South; no third-party candidate has won an entire state's electoral votes since.",-9.400000000,D,-54.7,1,25,25.4,56.5,11.2,56943,4,301,RICHARD NIXON,George Wallace,43.4%,238728,31785480,West,4,34.8,-0.5,2,Utah,,,Utah,R,422568,73211875,56.5,R,1968
NM,Hex,4,31,% shift to the right,George Wallace:	,,,Hubert Humphrey,G,      ,Right,0,ü,39.7,-19.3,-63934,,191,HUBERT HUMPHREY,Richard Nixon,42.7%,130081,31275166,3.5,6,7.9,,46,● ,),%), (,GEORGE WALLACE,13.5%,25737,9906473,        ,"The election of 1968 was a wrenching national experience, conducted against a backdrop that included the assassination of civil rights leader Martin Luther King, Jr. and subsequent race riots across the nation, the assassination of presidential candidate Robert F. Kennedy, widespread demonstrations against the Vietnam War across college campuses, and violent confrontations between police and anti-war protesters at the 1968 Democratic National Convention. Nixon ran on a campaign that promised to restore ""law and order"". The election also featured a strong third party effort by former Alabama Governor George Wallace. Because Wallace's campaign promoted segregation, he proved to be a formidable candidate in the South; no third-party candidate has won an entire state's electoral votes since.",-18.6,D,-59,1,10,12.1,51.8,11.4,36854,4,301,RICHARD NIXON,George Wallace,43.4%,169692,31785480,West,5,30.7,-0.5,3,New Mexico,,,New Mexico,R,327350,73211875,51.8,R,1968
AZ,Hex,5,19,% shift to the right,George Wallace:	,,,Hubert Humphrey,G,      ,Right,0,ü,35.0,-14.5,-67239,,191,HUBERT HUMPHREY,Richard Nixon,42.7%,170514,31275166,3,5,9.6,,46,● ,),%), (,GEORGE WALLACE,13.5%,46573,9906473,        ,"The election of 1968 was a wrenching national experience, conducted against a backdrop that included the assassination of civil rights leader Martin Luther King, Jr. and subsequent race riots across the nation, the assassination of presidential candidate Robert F. Kennedy, widespread demonstrations against the Vietnam War across college campuses, and violent confrontations between police and anti-war protesters at the 1968 Democratic National Convention. Nixon ran on a campaign that promised to restore ""law and order"". The election also featured a strong third party effort by former Alabama Governor George Wallace. Because Wallace's campaign promoted segregation, he proved to be a formidable candidate in the South; no third-party candidate has won an entire state's electoral votes since.",0.900000000,R,50.4,1,15,19.8,54.8,4.4,24186,5,301,RICHARD NIXON,George Wallace,43.4%,266721,31785480,West,5,18.9,-0.5,2,Arizona,,,Arizona,R,486936,73211875,54.8,R,1968
