Abbreviation,Selected Map,Total_EV,Shift,Shift tooltip,I_Nominee tooltip,blank,D-Check,D_Nominee_prop,Color Bins,Independent spacing,Direction,Spacer,R-Check,D_Percentage,D_DifferencePercentage,D_Difference,D_EV,D_EV_Total,D_Nominee,R_Nominee_prop,D_PopularPercentage,D_Votes,D_Votes_Total,Hex_Column,Hex_Row,I_Percentage,I_EV,I_EV_Total,I_Nominee tooltip â—è,I_Nominee tooltip ')',I_Nominee tooltip 'Percentage)',I_Nominee tooltip '(',I_Nominee,I_PopularPercentage,I_Votes,I_Votes_Total,Independent spacing (popular),Info,Last_RD_Difference,Last_Winner,Last_Winner_Percentage,Number of Records,RD_Difference (bin),RD_Difference,R_Percentage,R_DifferencePercentage,R_Difference,R_EV,R_EV_Total,R_Nominee,I_Nominee_prop,R_PopularPercentage,R_Votes,R_Votes_Total,Region,Row,Shift :(l/r),Shift abbreviation,Space,State (red),State (blue),State (yellow),State,State_Winner,Total Votes,Total_Votes_USA,Winner_Percentage,Winning Party,Year
NM,Hex,5,16,% shift to the left,,,Ã_,Barack Obama,B,,Left,0,,56.9,7.9,101480,5,365,BARACK OBAMAÂ ,John McCain,52.90%,472422,69456897,3.5,6,,,,,,,,,,,,,"Outgoing Republican President George W. Bush's policies and actions and the American public's desire for change were key issues throughout the 2008 election. Domestic policy and the economy eventually emerged as the main themes in the last few months after the onset of the 2008 economic crisis. Democrat Barack Obama, then junior United States Senator from Illinois, defeated Republican John McCain. This unique election was the first in which an African American was elected President. It was the first time two sitting senators ran against each other. It was also the first time the Republican Party nominated a woman for Vice President (Sarah Palin, then-Governor of Alaska). Additionally, it was the first election in which both major parties nominated candidates who were born outside of the contiguous United States.",0.8,R,49.8,1,-20,-15.1,41.8,-8,-30098,,173,JOHN McCAIN, ,45.70%,346832,59934814,West,5,-15.9,0.5,3,,New Mexico,,New Mexico,D,830158,131278107,-56.9,D,2008
ND,Hex,3,19,% shift to the left,,,Ã_,Barack Obama,F,,Left,0,,44.6,9.1,30226,,365,BARACK OBAMAÂ ,John McCain,52.90%,141278,69456897,3.5,2,,,,,,,,,,,,,"Outgoing Republican President George W. Bush's policies and actions and the American public's desire for change were key issues throughout the 2008 election. Domestic policy and the economy eventually emerged as the main themes in the last few months after the onset of the 2008 economic crisis. Democrat Barack Obama, then junior United States Senator from Illinois, defeated Republican John McCain. This unique election was the first in which an African American was elected President. It was the first time two sitting senators ran against each other. It was also the first time the Republican Party nominated a woman for Vice President (Sarah Palin, then-Governor of Alaska). Additionally, it was the first election in which both major parties nominated candidates who were born outside of the contiguous United States.",27.4,R,62.9,1,5,8.7,53.3,-9.6,-28050,3,173,JOHN McCAIN, ,45.70%,168601,59934814,Midwest,2,-18.7,0.5,4,North Dakota,,,North Dakota,R,316621,131278107,53.3,D,2008
SD,Hex,3,13,% shift to the left,,,Ã_,Barack Obama,F,,Left,0,,44.7,6.3,21680,,365,BARACK OBAMAÂ ,John McCain,52.90%,170924,69456897,4,3,,,,,,,,,,,,,"Outgoing Republican President George W. Bush's policies and actions and the American public's desire for change were key issues throughout the 2008 election. Domestic policy and the economy eventually emerged as the main themes in the last few months after the onset of the 2008 economic crisis. Democrat Barack Obama, then junior United States Senator from Illinois, defeated Republican John McCain. This unique election was the first in which an African American was elected President. It was the first time two sitting senators ran against each other. It was also the first time the Republican Party nominated a woman for Vice President (Sarah Palin, then-Governor of Alaska). Additionally, it was the first election in which both major parties nominated candidates who were born outside of the contiguous United States.",21.5,R,59.9,1,5,8.5,53.2,-6.7,-29530,3,173,JOHN McCAIN, ,45.70%,203054,59934814,Midwest,3,-13,0.5,4,South Dakota,,,South Dakota,R,381975,131278107,53.2,D,2008
NE,Hex,5,18,% shift to the left,,,Ã_,Barack Obama,G,,Left,0,,41.6,8.9,78991,1,365,BARACK OBAMAÂ ,John McCain,52.90%,333319,69456897,4.5,4,,,,,,,,,,,,,"Outgoing Republican President George W. Bush's policies and actions and the American public's desire for change were key issues throughout the 2008 election. Domestic policy and the economy eventually emerged as the main themes in the last few months after the onset of the 2008 economic crisis. Democrat Barack Obama, then junior United States Senator from Illinois, defeated Republican John McCain. This unique election was the first in which an African American was elected President. It was the first time two sitting senators ran against each other. It was also the first time the Republican Party nominated a woman for Vice President (Sarah Palin, then-Governor of Alaska). Additionally, it was the first election in which both major parties nominated candidates who were born outside of the contiguous United States.",33.2,R,65.9,1,10,14.9,56.5,-9.4,-59835,4,173,JOHN McCAIN, ,45.70%,452979,59934814,Midwest,4,-18.3,0.5,4,Nebraska,,,Nebraska,,801281,131278107,56.5,D,2008
MO,Hex,11,7,% shift to the left,,,Ã_,Barack Obama,F,,Left,0,,49.3,3.2,182740,,365,BARACK OBAMAÂ ,John McCain,52.90%,1441911,69456897,5.5,4,,,,,,,,,,,,,"Outgoing Republican President George W. Bush's policies and actions and the American public's desire for change were key issues throughout the 2008 election. Domestic policy and the economy eventually emerged as the main themes in the last few months after the onset of the 2008 economic crisis. Democrat Barack Obama, then junior United States Senator from Illinois, defeated Republican John McCain. This unique election was the first in which an African American was elected President. It was the first time two sitting senators ran against each other. It was also the first time the Republican Party nominated a woman for Vice President (Sarah Palin, then-Governor of Alaska). Additionally, it was the first election in which both major parties nominated candidates who were born outside of the contiguous United States.",7.2,R,53.3,1,0,0.1,49.4,-3.9,-9899,11,173,JOHN McCAIN, ,45.70%,1445814,59934814,Midwest,4,-7.1,0.5,5,Missouri,,,Missouri,R,2925205,131278107,49.4,D,2008
KS,Hex,6,11,% shift to the left,,,Ã_,Barack Obama,G,,Left,0,,41.7,5.1,79772,,365,BARACK OBAMAÂ ,John McCain,52.90%,514765,69456897,5,5,,,,,,,,,,,,,"Outgoing Republican President George W. Bush's policies and actions and the American public's desire for change were key issues throughout the 2008 election. Domestic policy and the economy eventually emerged as the main themes in the last few months after the onset of the 2008 economic crisis. Democrat Barack Obama, then junior United States Senator from Illinois, defeated Republican John McCain. This unique election was the first in which an African American was elected President. It was the first time two sitting senators ran against each other. It was also the first time the Republican Party nominated a woman for Vice President (Sarah Palin, then-Governor of Alaska). Additionally, it was the first election in which both major parties nominated candidates who were born outside of the contiguous United States.",25.4,R,62,1,10,14.9,56.6,-5.4,-36801,6,173,JOHN McCAIN, ,45.70%,699655,59934814,Midwest,5,-10.5,0.5,4,Kansas,,,Kansas,R,1235872,131278107,56.6,D,2008
KY,Hex,8,4,% shift to the left,,,Ã_,Barack Obama,G,,Left,0,,41.2,1.5,39252,,365,BARACK OBAMAÂ ,John McCain,52.90%,751985,69456897,6.5,4,,,,,,,,,,,,,"Outgoing Republican President George W. Bush's policies and actions and the American public's desire for change were key issues throughout the 2008 election. Domestic policy and the economy eventually emerged as the main themes in the last few months after the onset of the 2008 economic crisis. Democrat Barack Obama, then junior United States Senator from Illinois, defeated Republican John McCain. This unique election was the first in which an African American was elected President. It was the first time two sitting senators ran against each other. It was also the first time the Republican Party nominated a woman for Vice President (Sarah Palin, then-Governor of Alaska). Additionally, it was the first election in which both major parties nominated candidates who were born outside of the contiguous United States.",19.8,R,59.5,1,15,16.2,57.4,-2.1,-20977,8,173,JOHN McCAIN, ,45.70%,1048462,59934814,South,4,-3.6,0.5,6,Kentucky,,,Kentucky,R,1826508,131278107,57.4,D,2008
WV,Hex,5,0,% shift to the right,,,Ã_,Barack Obama,G,,Right,0,,42.6,-0.6,-22684,,365,BARACK OBAMAÂ ,John McCain,52.90%,303857,69456897,7.5,4,,,,,,,,,,,,,"Outgoing Republican President George W. Bush's policies and actions and the American public's desire for change were key issues throughout the 2008 election. Domestic policy and the economy eventually emerged as the main themes in the last few months after the onset of the 2008 economic crisis. Democrat Barack Obama, then junior United States Senator from Illinois, defeated Republican John McCain. This unique election was the first in which an African American was elected President. It was the first time two sitting senators ran against each other. It was also the first time the Republican Party nominated a woman for Vice President (Sarah Palin, then-Governor of Alaska). Additionally, it was the first election in which both major parties nominated candidates who were born outside of the contiguous United States.",12.9,R,56.1,1,10,13.1,55.7,-0.4,-26312,5,173,JOHN McCAIN, ,45.70%,397466,59934814,South,4,0.2,-0.5,7,West Virginia,,,West Virginia,R,713362,131278107,55.7,D,2008
AR,Hex,6,10,% shift to the right,,,Ã_,Barack Obama,G,,Right,0,,38.9,-5.6,-47643,,365,BARACK OBAMAÂ ,John McCain,52.90%,422310,69456897,6,5,,,,,,,,,,,,,"Outgoing Republican President George W. Bush's policies and actions and the American public's desire for change were key issues throughout the 2008 election. Domestic policy and the economy eventually emerged as the main themes in the last few months after the onset of the 2008 economic crisis. Democrat Barack Obama, then junior United States Senator from Illinois, defeated Republican John McCain. This unique election was the first in which an African American was elected President. It was the first time two sitting senators ran against each other. It was also the first time the Republican Party nominated a woman for Vice President (Sarah Palin, then-Governor of Alaska). Additionally, it was the first election in which both major parties nominated candidates who were born outside of the contiguous United States.",9.8,R,54.3,1,15,19.8,58.7,4.4,65119,6,173,JOHN McCAIN, ,45.70%,638017,59934814,South,5,10,-0.5,5,Arkansas,,,Arkansas,R,1086617,131278107,58.7,D,2008
TN,Hex,11,1,% shift to the right,,,Ã_,Barack Obama,G,,Right,0,,41.8,-0.7,50960,,365,BARACK OBAMAÂ ,John McCain,52.90%,1087437,69456897,7,5,,,,,,,,,,,,,"Outgoing Republican President George W. Bush's policies and actions and the American public's desire for change were key issues throughout the 2008 election. Domestic policy and the economy eventually emerged as the main themes in the last few months after the onset of the 2008 economic crisis. Democrat Barack Obama, then junior United States Senator from Illinois, defeated Republican John McCain. This unique election was the first in which an African American was elected President. It was the first time two sitting senators ran against each other. It was also the first time the Republican Party nominated a woman for Vice President (Sarah Palin, then-Governor of Alaska). Additionally, it was the first election in which both major parties nominated candidates who were born outside of the contiguous United States.",14.3,R,56.8,1,15,15.1,56.9,0.1,94803,11,173,JOHN McCAIN, ,45.70%,1479178,59934814,South,5,0.8,-0.5,6,Tennessee,,,Tennessee,R,2599749,131278107,56.9,D,2008
SC,Hex,8,8,% shift to the left,,,Ã_,Barack Obama,F,,Left,0,,44.9,4,200750,,365,BARACK OBAMAÂ ,John McCain,52.90%,862449,69456897,8.5,6,,,,,,,,,,,,,"Outgoing Republican President George W. Bush's policies and actions and the American public's desire for change were key issues throughout the 2008 election. Domestic policy and the economy eventually emerged as the main themes in the last few months after the onset of the 2008 economic crisis. Democrat Barack Obama, then junior United States Senator from Illinois, defeated Republican John McCain. This unique election was the first in which an African American was elected President. It was the first time two sitting senators ran against each other. It was also the first time the Republican Party nominated a woman for Vice President (Sarah Palin, then-Governor of Alaska). Additionally, it was the first election in which both major parties nominated candidates who were born outside of the contiguous United States.",17.1,R,58,1,5,9,53.9,-4.1,96922,8,173,JOHN McCAIN, ,45.70%,1034896,59934814,South,5,-8.1,0.5,8,South Carolina,,,South Carolina,R,1920969,131278107,53.9,D,2008
OK,Hex,7,0,% shift to the right,,,Ã_,Barack Obama,I,,Right,0,,34.4,0,-1470,,365,BARACK OBAMAÂ ,John McCain,52.90%,502496,69456897,4.5,6,,,,,,,,,,,,,"Outgoing Republican President George W. Bush's policies and actions and the American public's desire for change were key issues throughout the 2008 election. Domestic policy and the economy eventually emerged as the main themes in the last few months after the onset of the 2008 economic crisis. Democrat Barack Obama, then junior United States Senator from Illinois, defeated Republican John McCain. This unique election was the first in which an African American was elected President. It was the first time two sitting senators ran against each other. It was also the first time the Republican Party nominated a woman for Vice President (Sarah Palin, then-Governor of Alaska). Additionally, it was the first election in which both major parties nominated candidates who were born outside of the contiguous United States.",31.2,R,65.6,1,30,31.2,65.6,1.42E-14,373,7,173,JOHN McCAIN, ,45.70%,960165,59934814,South,6,0,-0.5,4,Oklahoma,,,Oklahoma,R,1462661,131278107,65.6,D,2008
LA,Hex,9,4,% shift to the right,,,Ã_,Barack Obama,G,,Right,0,,39.9,-2.3,-37310,,365,BARACK OBAMAÂ ,John McCain,52.90%,782989,69456897,5.5,6,,,,,,,,,,,,,"Outgoing Republican President George W. Bush's policies and actions and the American public's desire for change were key issues throughout the 2008 election. Domestic policy and the economy eventually emerged as the main themes in the last few months after the onset of the 2008 economic crisis. Democrat Barack Obama, then junior United States Senator from Illinois, defeated Republican John McCain. This unique election was the first in which an African American was elected President. It was the first time two sitting senators ran against each other. It was also the first time the Republican Party nominated a woman for Vice President (Sarah Palin, then-Governor of Alaska). Additionally, it was the first election in which both major parties nominated candidates who were born outside of the contiguous United States.",14.5,R,56.7,1,15,18.7,58.6,1.9,46106,9,173,JOHN McCAIN, ,45.70%,1148275,59934814,South,6,4.2,-0.5,5,Louisiana,,,Louisiana,R,1960761,131278107,58.6,D,2008
MS,Hex,6,7,% shift to the left,,,Ã_,Barack Obama,G,,Left,0,,43,3.2,96568,,365,BARACK OBAMAÂ ,John McCain,52.90%,554662,69456897,6.5,6,,,,,,,,,,,,,"Outgoing Republican President George W. Bush's policies and actions and the American public's desire for change were key issues throughout the 2008 election. Domestic policy and the economy eventually emerged as the main themes in the last few months after the onset of the 2008 economic crisis. Democrat Barack Obama, then junior United States Senator from Illinois, defeated Republican John McCain. This unique election was the first in which an African American was elected President. It was the first time two sitting senators ran against each other. It was also the first time the Republican Party nominated a woman for Vice President (Sarah Palin, then-Governor of Alaska). Additionally, it was the first election in which both major parties nominated candidates who were born outside of the contiguous United States.",19.7,R,59.5,1,10,13.2,56.2,-3.3,39616,6,173,JOHN McCAIN, ,45.70%,724597,59934814,South,6,-6.5,0.5,6,Mississippi,,,Mississippi,R,1289865,131278107,56.2,D,2008
AL,Hex,9,4,% shift to the left,,,Ã_,Barack Obama,H,,Left,0,,38.7,1.9,119546,,365,BARACK OBAMAÂ ,John McCain,52.90%,813479,69456897,7.5,6,,,,,,,,,,,,,"Outgoing Republican President George W. Bush's policies and actions and the American public's desire for change were key issues throughout the 2008 election. Domestic policy and the economy eventually emerged as the main themes in the last few months after the onset of the 2008 economic crisis. Democrat Barack Obama, then junior United States Senator from Illinois, defeated Republican John McCain. This unique election was the first in which an African American was elected President. It was the first time two sitting senators ran against each other. It was also the first time the Republican Party nominated a woman for Vice President (Sarah Palin, then-Governor of Alaska). Additionally, it was the first election in which both major parties nominated candidates who were born outside of the contiguous United States.",25.7,R,62.5,1,20,21.6,60.3,-2.2,90152,9,173,JOHN McCAIN, ,45.70%,1266546,59934814,South,6,-4.1,0.5,7,Alabama,,,Alabama,R,2099819,131278107,60.3,D,2008
GA,Hex,15,11,% shift to the left,,,Ã_,Barack Obama,F,,Left,0,,47,5.6,477988,,365,BARACK OBAMAÂ ,John McCain,52.90%,1844137,69456897,8,7,,,,,,,,,,,,,"Outgoing Republican President George W. Bush's policies and actions and the American public's desire for change were key issues throughout the 2008 election. Domestic policy and the economy eventually emerged as the main themes in the last few months after the onset of the 2008 economic crisis. Democrat Barack Obama, then junior United States Senator from Illinois, defeated Republican John McCain. This unique election was the first in which an African American was elected President. It was the first time two sitting senators ran against each other. It was also the first time the Republican Party nominated a woman for Vice President (Sarah Palin, then-Governor of Alaska). Additionally, it was the first election in which both major parties nominated candidates who were born outside of the contiguous United States.",16.6,R,58,1,5,5.2,52.2,-5.8,134490,15,173,JOHN McCAIN, ,45.70%,2048744,59934814,South,6,-11.4,0.5,8,Georgia,,,Georgia,R,3924440,131278107,52.2,D,2008
TX,Hex,34,11,% shift to the left,,,Ã_,Barack Obama,G,,Left,0,,43.7,5.5,695929,,365,BARACK OBAMAÂ ,John McCain,52.90%,3528633,69456897,4,7,,,,,,,,,,,,,"Outgoing Republican President George W. Bush's policies and actions and the American public's desire for change were key issues throughout the 2008 election. Domestic policy and the economy eventually emerged as the main themes in the last few months after the onset of the 2008 economic crisis. Democrat Barack Obama, then junior United States Senator from Illinois, defeated Republican John McCain. This unique election was the first in which an African American was elected President. It was the first time two sitting senators ran against each other. It was also the first time the Republican Party nominated a woman for Vice President (Sarah Palin, then-Governor of Alaska). Additionally, it was the first election in which both major parties nominated candidates who were born outside of the contiguous United States.",22.9,R,61.1,1,10,11.8,55.5,-5.6,-47589,34,173,JOHN McCAIN, ,45.70%,4479328,59934814,South,7,-11.1,0.5,4,Texas,,,Texas,R,8077795,131278107,55.5,D,2008
AK,Hex,3,4,% shift to the left,,,Ã_,Barack Obama,H,,Left,0,,37.9,2.4,12569,,365,BARACK OBAMAÂ ,John McCain,52.90%,123594,69456897,0.5,0,,,,,,,,,,,,,"Outgoing Republican President George W. Bush's policies and actions and the American public's desire for change were key issues throughout the 2008 election. Domestic policy and the economy eventually emerged as the main themes in the last few months after the onset of the 2008 economic crisis. Democrat Barack Obama, then junior United States Senator from Illinois, defeated Republican John McCain. This unique election was the first in which an African American was elected President. It was the first time two sitting senators ran against each other. It was also the first time the Republican Party nominated a woman for Vice President (Sarah Palin, then-Governor of Alaska). Additionally, it was the first election in which both major parties nominated candidates who were born outside of the contiguous United States.",25.6,R,61.1,1,20,21.5,59.4,-1.7,2952,3,173,JOHN McCAIN, ,45.70%,193841,59934814,West,0,-4.1,0.5,0,Alaska,,,Alaska,R,326197,131278107,59.4,D,2008
MT,Hex,3,18,% shift to the left,,,Ã_,Barack Obama,F,,Left,0,,47.3,8.7,57957,,365,BARACK OBAMAÂ ,John McCain,52.90%,231667,69456897,2.5,2,,,,,,,,,,,,,"Outgoing Republican President George W. Bush's policies and actions and the American public's desire for change were key issues throughout the 2008 election. Domestic policy and the economy eventually emerged as the main themes in the last few months after the onset of the 2008 economic crisis. Democrat Barack Obama, then junior United States Senator from Illinois, defeated Republican John McCain. This unique election was the first in which an African American was elected President. It was the first time two sitting senators ran against each other. It was also the first time the Republican Party nominated a woman for Vice President (Sarah Palin, then-Governor of Alaska). Additionally, it was the first election in which both major parties nominated candidates who were born outside of the contiguous United States.",20.5,R,59.1,1,0,2.2,49.5,-9.6,-23300,3,173,JOHN McCAIN, ,45.70%,242763,59934814,West,2,-18.3,0.5,3,Montana,,,Montana,R,490109,131278107,49.5,D,2008
ID,Hex,4,13,% shift to the left,,,Ã_,Barack Obama,H,,Left,0,,36.1,5.8,55342,,365,BARACK OBAMAÂ ,John McCain,52.90%,236440,69456897,2,3,,,,,,,,,,,,,"Outgoing Republican President George W. Bush's policies and actions and the American public's desire for change were key issues throughout the 2008 election. Domestic policy and the economy eventually emerged as the main themes in the last few months after the onset of the 2008 economic crisis. Democrat Barack Obama, then junior United States Senator from Illinois, defeated Republican John McCain. This unique election was the first in which an African American was elected President. It was the first time two sitting senators ran against each other. It was also the first time the Republican Party nominated a woman for Vice President (Sarah Palin, then-Governor of Alaska). Additionally, it was the first election in which both major parties nominated candidates who were born outside of the contiguous United States.",38.1,R,68.4,1,25,25.4,61.5,-6.9,-6223,4,173,JOHN McCAIN, ,45.70%,403012,59934814,West,2,-12.7,0.5,2,Idaho,,,Idaho,R,655032,131278107,61.5,D,2008
WY,Hex,3,8,% shift to the left,,,Ã_,Barack Obama,I,,Left,0,,32.4,3.3,12092,,365,BARACK OBAMAÂ ,John McCain,52.90%,82868,69456897,3,3,,,,,,,,,,,,,"Outgoing Republican President George W. Bush's policies and actions and the American public's desire for change were key issues throughout the 2008 election. Domestic policy and the economy eventually emerged as the main themes in the last few months after the onset of the 2008 economic crisis. Democrat Barack Obama, then junior United States Senator from Illinois, defeated Republican John McCain. This unique election was the first in which an African American was elected President. It was the first time two sitting senators ran against each other. It was also the first time the Republican Party nominated a woman for Vice President (Sarah Palin, then-Governor of Alaska). Additionally, it was the first election in which both major parties nominated candidates who were born outside of the contiguous United States.",39.8,R,68.9,1,30,32,64.4,-4.5,-2671,3,173,JOHN McCAIN, ,45.70%,164958,59934814,West,3,-7.8,0.5,3,Wyoming,,,Wyoming,R,256035,131278107,64.4,D,2008
UT,Hex,5,17,% shift to the left,,,Ã_,Barack Obama,H,,Left,0,,34.4,8.4,86471,,365,BARACK OBAMAÂ ,John McCain,52.90%,327670,69456897,4,5,,,,,,,,,,,,,"Outgoing Republican President George W. Bush's policies and actions and the American public's desire for change were key issues throughout the 2008 election. Domestic policy and the economy eventually emerged as the main themes in the last few months after the onset of the 2008 economic crisis. Democrat Barack Obama, then junior United States Senator from Illinois, defeated Republican John McCain. This unique election was the first in which an African American was elected President. It was the first time two sitting senators ran against each other. It was also the first time the Republican Party nominated a woman for Vice President (Sarah Palin, then-Governor of Alaska). Additionally, it was the first election in which both major parties nominated candidates who were born outside of the contiguous United States.",45.5,R,71.5,1,25,28.2,62.6,-8.9,-67712,5,173,JOHN McCAIN, ,45.70%,596030,59934814,West,4,-17.3,0.5,2,Utah,,,Utah,R,952370,131278107,62.6,D,2008
AZ,Hex,10,2,% shift to the left,,,Ã_,Barack Obama,F,,Left,0,,45.1,0.7,141183,,365,BARACK OBAMAÂ ,John McCain,52.90%,1034707,69456897,3,5,,,,,,,,,,,,,"Outgoing Republican President George W. Bush's policies and actions and the American public's desire for change were key issues throughout the 2008 election. Domestic policy and the economy eventually emerged as the main themes in the last few months after the onset of the 2008 economic crisis. Democrat Barack Obama, then junior United States Senator from Illinois, defeated Republican John McCain. This unique election was the first in which an African American was elected President. It was the first time two sitting senators ran against each other. It was also the first time the Republican Party nominated a woman for Vice President (Sarah Palin, then-Governor of Alaska). Additionally, it was the first election in which both major parties nominated candidates who were born outside of the contiguous United States.",10.5,R,54.9,1,5,8.5,53.6,-1.3,125817,10,173,JOHN McCAIN, ,45.70%,1230111,59934814,West,5,-2,0.5,2,Arizona,,,Arizona,R,2293475,131278107,53.6,D,2008
