Abbreviation,Selected Map,Total_EV,Shift,Shift tooltip,I_Nominee tooltip,blank,D-Check,D_Nominee_prop,Color Bins,Independent spacing,Direction,Spacer,R-Check,D_Percentage,D_DifferencePercentage,D_Difference,D_EV,D_EV_Total,D_Nominee,R_Nominee_prop,D_PopularPercentage,D_Votes,D_Votes_Total,Hex_Column,Hex_Row,I_Percentage,I_EV,I_EV_Total,I_Nominee tooltip ●,I_Nominee tooltip ')',I_Nominee tooltip 'Percentage)',I_Nominee tooltip '(',I_Nominee,I_PopularPercentage,I_Votes,I_Votes_Total,Independent spacing (popular),Info,Last_RD_Difference,Last_Winner,Last_Winner_Percentage,Number of Records,RD_Difference (bin),RD_Difference,R_Percentage,R_DifferencePercentage,R_Difference,R_EV,R_EV_Total,R_Nominee,I_Nominee_prop,R_PopularPercentage,R_Votes,R_Votes_Total,Region,Row,Shift :(l/r),Shift abbreviation,Space,State (red),State (blue),State (yellow),State,State_Winner,Total Votes,Total_Votes_USA,Winner_Percentage,Winning Party,Year
WA,Hex,11,1,% shift to the left,Ross Perot:	,,ü,Bill Clinton,B,,Left,0,,49.8,6.4,130286,11,379,BILL CLINTON,Robert Dole ,49.2%,1123323,47402357,1.5,2,8.9,,,● ,),%), (,ROSS PEROT,8.4%,201003,8085402,   ,"The election of 1996 was a contest between the Democratic ticket of President Bill Clinton of Arkansas and Vice President Al Gore and the Republican ticket of former Senator Bob Dole of Kansas for President and former Housing Secretary Jack Kemp of New York for Vice President. Businessman Ross Perot ran as candidate for the Reform Party; he received less media attention and was excluded from the presidential debates and, while still obtaining substantial results for a third-party candidate, by U.S. standards, did not renew his success in the 1992 election. Clinton benefited from an economy which recovered from the early 1990s recession, and a relatively stable world stage. President Clinton went on to win re-election with a substantial margin in the popular vote and electoral college.",-11.4,D,-43.4,1,-15,-12.5,37.3,5.3,109478,,159,ROBERT DOLE ,Ross Perot,40.7%,840712,39198755,West,2,-1.1,0.5,1,,Washington,,Washington,D,2253837,96277223,-49.8,D,1996
OR,Hex,7,2,% shift to the right,Ross Perot:	,,ü,Bill Clinton,A,,Right,0,,47.2,4.7,28327,7,379,BILL CLINTON,Robert Dole ,49.2%,649641,47402357,1.5,4,8.8,,,● ,),%), (,ROSS PEROT,8.4%,121221,8085402,   ,"The election of 1996 was a contest between the Democratic ticket of President Bill Clinton of Arkansas and Vice President Al Gore and the Republican ticket of former Senator Bob Dole of Kansas for President and former Housing Secretary Jack Kemp of New York for Vice President. Businessman Ross Perot ran as candidate for the Reform Party; he received less media attention and was excluded from the presidential debates and, while still obtaining substantial results for a third-party candidate, by U.S. standards, did not renew his success in the 1992 election. Clinton benefited from an economy which recovered from the early 1990s recession, and a relatively stable world stage. President Clinton went on to win re-election with a substantial margin in the popular vote and electoral college.",-10,D,-42.5,1,-10,-8.1,39.1,6.6,62395,,159,ROBERT DOLE ,Ross Perot,40.7%,538152,39198755,West,3,1.9,-0.5,1,,Oregon,,Oregon,D,1377760,96277223,-47.2,D,1996
NV,Hex,4,2,% shift to the right,Ross Perot:	,,ü,Bill Clinton,A,,Right,0,,43.9,6.5,14826,4,379,BILL CLINTON,Robert Dole ,49.2%,203974,47402357,2.5,4,9.5,,,● ,),%), (,ROSS PEROT,8.4%,43986,8085402,   ,"The election of 1996 was a contest between the Democratic ticket of President Bill Clinton of Arkansas and Vice President Al Gore and the Republican ticket of former Senator Bob Dole of Kansas for President and former Housing Secretary Jack Kemp of New York for Vice President. Businessman Ross Perot ran as candidate for the Reform Party; he received less media attention and was excluded from the presidential debates and, while still obtaining substantial results for a third-party candidate, by U.S. standards, did not renew his success in the 1992 election. Clinton benefited from an economy which recovered from the early 1990s recession, and a relatively stable world stage. President Clinton went on to win re-election with a substantial margin in the popular vote and electoral college.",-2.7,D,-37.4,1,-5,-1,42.9,8.2,23416,,159,ROBERT DOLE ,Ross Perot,40.7%,199244,39198755,West,3,1.7,-0.5,2,,Nevada,,Nevada,D,464279,96277223,-43.9,D,1996
CA,Hex,54,1,% shift to the right,Ross Perot:	,,ü,Bill Clinton,B,,Right,0,,51.1,5.1,-1490,54,379,BILL CLINTON,Robert Dole ,49.2%,5119835,47402357,2,5,7.0,,,● ,),%), (,ROSS PEROT,8.4%,697847,8085402,   ,"The election of 1996 was a contest between the Democratic ticket of President Bill Clinton of Arkansas and Vice President Al Gore and the Republican ticket of former Senator Bob Dole of Kansas for President and former Housing Secretary Jack Kemp of New York for Vice President. Businessman Ross Perot ran as candidate for the Reform Party; he received less media attention and was excluded from the presidential debates and, while still obtaining substantial results for a third-party candidate, by U.S. standards, did not renew his success in the 1992 election. Clinton benefited from an economy which recovered from the early 1990s recession, and a relatively stable world stage. President Clinton went on to win re-election with a substantial margin in the popular vote and electoral college.",-13.4,D,-46,1,-15,-12.9,38.2,5.6,197806,,159,ROBERT DOLE ,Ross Perot,40.7%,3828380,39198755,West,4,0.5,-0.5,1,,California,,California,D,10019484,96277223,-51.1,D,1996
NM,Hex,5,1,% shift to the right,Ross Perot:	,,ü,Bill Clinton,A,,Right,0,,49.2,3.3,11878,5,379,BILL CLINTON,Robert Dole ,49.2%,273495,47402357,3.5,6,5.8,,,● ,),%), (,ROSS PEROT,8.4%,32257,8085402,   ,"The election of 1996 was a contest between the Democratic ticket of President Bill Clinton of Arkansas and Vice President Al Gore and the Republican ticket of former Senator Bob Dole of Kansas for President and former Housing Secretary Jack Kemp of New York for Vice President. Businessman Ross Perot ran as candidate for the Reform Party; he received less media attention and was excluded from the presidential debates and, while still obtaining substantial results for a third-party candidate, by U.S. standards, did not renew his success in the 1992 election. Clinton benefited from an economy which recovered from the early 1990s recession, and a relatively stable world stage. President Clinton went on to win re-election with a substantial margin in the popular vote and electoral college.",-8.6,D,-45.9,1,-10,-7.3,41.9,4.6,19927,,159,ROBERT DOLE ,Ross Perot,40.7%,232751,39198755,West,5,1.3,-0.5,3,,New Mexico,,New Mexico,D,556074,96277223,-49.2,D,1996
HI,Hex,4,14,% shift to the left,Ross Perot:	,,ü,Bill Clinton,C,,Left,0,,56.9,8.8,25702,4,379,BILL CLINTON,Robert Dole ,49.2%,205012,47402357,-0.5,5,7.6,,,● ,),%), (,ROSS PEROT,8.4%,27358,8085402,   ,"The election of 1996 was a contest between the Democratic ticket of President Bill Clinton of Arkansas and Vice President Al Gore and the Republican ticket of former Senator Bob Dole of Kansas for President and former Housing Secretary Jack Kemp of New York for Vice President. Businessman Ross Perot ran as candidate for the Reform Party; he received less media attention and was excluded from the presidential debates and, while still obtaining substantial results for a third-party candidate, by U.S. standards, did not renew his success in the 1992 election. Clinton benefited from an economy which recovered from the early 1990s recession, and a relatively stable world stage. President Clinton went on to win re-election with a substantial margin in the popular vote and electoral college.",-11.4,D,-48.1,1,-30,-25.3,31.6,-5.1,-22879,,159,ROBERT DOLE ,Ross Perot,40.7%,113943,39198755,West,7,-13.9,0.5,1,,Hawaii,,Hawaii,D,360120,96277223,-56.9,D,1996
AZ,Hex,8,4,% shift to the left,Ross Perot:	,,ü,Bill Clinton,A,,Left,0,,46.5,10,110238,8,379,BILL CLINTON,Robert Dole ,49.2%,653288,47402357,3,5,8.0,,,● ,),%), (,ROSS PEROT,8.4%,112072,8085402,   ,"The election of 1996 was a contest between the Democratic ticket of President Bill Clinton of Arkansas and Vice President Al Gore and the Republican ticket of former Senator Bob Dole of Kansas for President and former Housing Secretary Jack Kemp of New York for Vice President. Businessman Ross Perot ran as candidate for the Reform Party; he received less media attention and was excluded from the presidential debates and, while still obtaining substantial results for a third-party candidate, by U.S. standards, did not renew his success in the 1992 election. Clinton benefited from an economy which recovered from the early 1990s recession, and a relatively stable world stage. President Clinton went on to win re-election with a substantial margin in the popular vote and electoral college.",2,R,38.5,1,-5,-2.2,44.3,5.8,49987,,159,ROBERT DOLE ,Ross Perot,40.7%,622073,39198755,West,5,-4.2,0.5,2,,Arizona,,Arizona,D,1404405,96277223,-46.5,D,1996
ND,Hex,3,5,% shift to the left,Ross Perot:	,,ü,Bill Clinton,F,,Left,0,,40.1,7.9,7737,,379,BILL CLINTON,Robert Dole ,49.2%,106905,47402357,3.5,2,12.2,,,● ,),%), (,ROSS PEROT,8.4%,32515,8085402,   ,"The election of 1996 was a contest between the Democratic ticket of President Bill Clinton of Arkansas and Vice President Al Gore and the Republican ticket of former Senator Bob Dole of Kansas for President and former Housing Secretary Jack Kemp of New York for Vice President. Businessman Ross Perot ran as candidate for the Reform Party; he received less media attention and was excluded from the presidential debates and, while still obtaining substantial results for a third-party candidate, by U.S. standards, did not renew his success in the 1992 election. Clinton benefited from an economy which recovered from the early 1990s recession, and a relatively stable world stage. President Clinton went on to win re-election with a substantial margin in the popular vote and electoral college.",12,R,44.2,1,5,6.8,46.9,2.7,-11194,3,159,ROBERT DOLE ,Ross Perot,40.7%,125050,39198755,Midwest,2,-5.2,0.5,4,North Dakota,,,North Dakota,R,266411,96277223,46.9,D,1996
SD,Hex,3,0,% shift to the left,Ross Perot:	,,ü,Bill Clinton,F,,Left,0,,43.0,5.9,14445,,379,BILL CLINTON,Robert Dole ,49.2%,139333,47402357,4,3,9.7,,,● ,),%), (,ROSS PEROT,8.4%,31250,8085402,   ,"The election of 1996 was a contest between the Democratic ticket of President Bill Clinton of Arkansas and Vice President Al Gore and the Republican ticket of former Senator Bob Dole of Kansas for President and former Housing Secretary Jack Kemp of New York for Vice President. Businessman Ross Perot ran as candidate for the Reform Party; he received less media attention and was excluded from the presidential debates and, while still obtaining substantial results for a third-party candidate, by U.S. standards, did not renew his success in the 1992 election. Clinton benefited from an economy which recovered from the early 1990s recession, and a relatively stable world stage. President Clinton went on to win re-election with a substantial margin in the popular vote and electoral college.",3.6,R,40.7,1,0,3.5,46.5,5.8,13825,3,159,ROBERT DOLE ,Ross Perot,40.7%,150543,39198755,Midwest,3,-0.1,0.5,4,South Dakota,,,South Dakota,R,323826,96277223,46.5,D,1996
IN,Hex,12,1,% shift to the left,Ross Perot:	,,ü,Bill Clinton,F,,Left,0,,41.6,4.8,39004,,379,BILL CLINTON,Robert Dole ,49.2%,887424,47402357,7,3,10.5,,,● ,),%), (,ROSS PEROT,8.4%,224299,8085402,   ,"The election of 1996 was a contest between the Democratic ticket of President Bill Clinton of Arkansas and Vice President Al Gore and the Republican ticket of former Senator Bob Dole of Kansas for President and former Housing Secretary Jack Kemp of New York for Vice President. Businessman Ross Perot ran as candidate for the Reform Party; he received less media attention and was excluded from the presidential debates and, while still obtaining substantial results for a third-party candidate, by U.S. standards, did not renew his success in the 1992 election. Clinton benefited from an economy which recovered from the early 1990s recession, and a relatively stable world stage. President Clinton went on to win re-election with a substantial margin in the popular vote and electoral college.",6.1,R,42.9,1,5,5.5,47.1,4.2,17318,12,159,ROBERT DOLE ,Ross Perot,40.7%,1006693,39198755,Midwest,3,-0.6,0.5,6,Indiana,,,Indiana,R,2135431,96277223,47.1,D,1996
NE,Hex,5,2,% shift to the right,Ross Perot:	,,ü,Bill Clinton,G,,Right,0,,35.0,5.6,19897,,379,BILL CLINTON,Robert Dole ,49.2%,236761,47402357,4.5,4,10.5,,,● ,),%), (,ROSS PEROT,8.4%,71278,8085402,   ,"The election of 1996 was a contest between the Democratic ticket of President Bill Clinton of Arkansas and Vice President Al Gore and the Republican ticket of former Senator Bob Dole of Kansas for President and former Housing Secretary Jack Kemp of New York for Vice President. Businessman Ross Perot ran as candidate for the Reform Party; he received less media attention and was excluded from the presidential debates and, while still obtaining substantial results for a third-party candidate, by U.S. standards, did not renew his success in the 1992 election. Clinton benefited from an economy which recovered from the early 1990s recession, and a relatively stable world stage. President Clinton went on to win re-election with a substantial margin in the popular vote and electoral college.",17.2,R,46.6,1,15,18.7,53.7,7.1,19789,5,159,ROBERT DOLE ,Ross Perot,40.7%,363467,39198755,Midwest,4,1.5,-0.5,4,Nebraska,,,Nebraska,R,677415,96277223,53.7,D,1996
KS,Hex,6,13,% shift to the right,Ross Perot:	,,ü,Bill Clinton,G,,Right,0,,36.1,2.4,-2775,,379,BILL CLINTON,Robert Dole ,49.2%,387659,47402357,5,5,8.6,,,● ,),%), (,ROSS PEROT,8.4%,92639,8085402,   ,"The election of 1996 was a contest between the Democratic ticket of President Bill Clinton of Arkansas and Vice President Al Gore and the Republican ticket of former Senator Bob Dole of Kansas for President and former Housing Secretary Jack Kemp of New York for Vice President. Businessman Ross Perot ran as candidate for the Reform Party; he received less media attention and was excluded from the presidential debates and, while still obtaining substantial results for a third-party candidate, by U.S. standards, did not renew his success in the 1992 election. Clinton benefited from an economy which recovered from the early 1990s recession, and a relatively stable world stage. President Clinton went on to win re-election with a substantial margin in the popular vote and electoral college.",5.2,R,38.9,1,15,18.2,54.3,15.4,133294,6,159,ROBERT DOLE ,Ross Perot,40.7%,583245,39198755,Midwest,5,13.0,-0.5,4,Kansas,,,Kansas,R,1074300,96277223,54.3,D,1996
GA,Hex,13,2,% shift to the right,Ross Perot:	,,ü,Bill Clinton,F,,Right,0,,45.8,2.3,44883,,379,BILL CLINTON,Robert Dole ,49.2%,1053849,47402357,8,7,6.4,,,● ,),%), (,ROSS PEROT,8.4%,146337,8085402,   ,"The election of 1996 was a contest between the Democratic ticket of President Bill Clinton of Arkansas and Vice President Al Gore and the Republican ticket of former Senator Bob Dole of Kansas for President and former Housing Secretary Jack Kemp of New York for Vice President. Businessman Ross Perot ran as candidate for the Reform Party; he received less media attention and was excluded from the presidential debates and, while still obtaining substantial results for a third-party candidate, by U.S. standards, did not renew his success in the 1992 election. Clinton benefited from an economy which recovered from the early 1990s recession, and a relatively stable world stage. President Clinton went on to win re-election with a substantial margin in the popular vote and electoral college.",-0.600000000,D,-43.5,1,0,1.2,47.0,4.1,85591,13,159,ROBERT DOLE ,Ross Perot,40.7%,1080843,39198755,South,6,1.8,-0.5,8,Georgia,,,Georgia,R,2299071,96277223,47,D,1996
VA,Hex,13,2,% shift to the left,Ross Perot:	,,ü,Bill Clinton,F,,Left,0,,45.1,4.5,52410,,379,BILL CLINTON,Robert Dole ,49.2%,1091060,47402357,8,5,6.6,,,● ,),%), (,ROSS PEROT,8.4%,159861,8085402,   ,"The election of 1996 was a contest between the Democratic ticket of President Bill Clinton of Arkansas and Vice President Al Gore and the Republican ticket of former Senator Bob Dole of Kansas for President and former Housing Secretary Jack Kemp of New York for Vice President. Businessman Ross Perot ran as candidate for the Reform Party; he received less media attention and was excluded from the presidential debates and, while still obtaining substantial results for a third-party candidate, by U.S. standards, did not renew his success in the 1992 election. Clinton benefited from an economy which recovered from the early 1990s recession, and a relatively stable world stage. President Clinton went on to win re-election with a substantial margin in the popular vote and electoral college.",4.4,R,45,1,0,2,47.1,2.1,-12167,13,159,ROBERT DOLE ,Ross Perot,40.7%,1138350,39198755,South,4,-2.4,0.5,8,Virginia,,,Virginia,R,2416642,96277223,47.1,D,1996
NC,Hex,14,4,% shift to the right,Ross Perot:	,,ü,Bill Clinton,F,,Right,0,,44.0,1.3,-6193,,379,BILL CLINTON,Robert Dole ,49.2%,1107849,47402357,9,5,6.7,,,● ,),%), (,ROSS PEROT,8.4%,168059,8085402,   ,"The election of 1996 was a contest between the Democratic ticket of President Bill Clinton of Arkansas and Vice President Al Gore and the Republican ticket of former Senator Bob Dole of Kansas for President and former Housing Secretary Jack Kemp of New York for Vice President. Businessman Ross Perot ran as candidate for the Reform Party; he received less media attention and was excluded from the presidential debates and, while still obtaining substantial results for a third-party candidate, by U.S. standards, did not renew his success in the 1992 election. Clinton benefited from an economy which recovered from the early 1990s recession, and a relatively stable world stage. President Clinton went on to win re-election with a substantial margin in the popular vote and electoral college.",0.700000000,R,43.4,1,0,4.7,48.7,5.3,91277,14,159,ROBERT DOLE ,Ross Perot,40.7%,1225938,39198755,South,5,4.0,-0.5,7,North Carolina,,,North Carolina,R,2515807,96277223,48.7,D,1996
SC,Hex,8,2,% shift to the left,Ross Perot:	,,ü,Bill Clinton,F,,Left,0,,44.0,4.1,26769,,379,BILL CLINTON,Robert Dole ,49.2%,506283,47402357,8.5,6,5.6,,,● ,),%), (,ROSS PEROT,8.4%,64386,8085402,   ,"The election of 1996 was a contest between the Democratic ticket of President Bill Clinton of Arkansas and Vice President Al Gore and the Republican ticket of former Senator Bob Dole of Kansas for President and former Housing Secretary Jack Kemp of New York for Vice President. Businessman Ross Perot ran as candidate for the Reform Party; he received less media attention and was excluded from the presidential debates and, while still obtaining substantial results for a third-party candidate, by U.S. standards, did not renew his success in the 1992 election. Clinton benefited from an economy which recovered from the early 1990s recession, and a relatively stable world stage. President Clinton went on to win re-election with a substantial margin in the popular vote and electoral college.",8.1,R,48,1,5,5.8,49.8,1.8,-4049,8,159,ROBERT DOLE ,Ross Perot,40.7%,573458,39198755,South,5,-2.3,0.5,8,South Carolina,,,South Carolina,R,1151689,96277223,49.8,D,1996
OK,Hex,8,1,% shift to the left,Ross Perot:	,,ü,Bill Clinton,F,,Left,0,,40.4,6.4,15039,,379,BILL CLINTON,Robert Dole ,49.2%,488105,47402357,4.5,6,10.8,,,● ,),%), (,ROSS PEROT,8.4%,130788,8085402,   ,"The election of 1996 was a contest between the Democratic ticket of President Bill Clinton of Arkansas and Vice President Al Gore and the Republican ticket of former Senator Bob Dole of Kansas for President and former Housing Secretary Jack Kemp of New York for Vice President. Businessman Ross Perot ran as candidate for the Reform Party; he received less media attention and was excluded from the presidential debates and, while still obtaining substantial results for a third-party candidate, by U.S. standards, did not renew his success in the 1992 election. Clinton benefited from an economy which recovered from the early 1990s recession, and a relatively stable world stage. President Clinton went on to win re-election with a substantial margin in the popular vote and electoral college.",8.6,R,42.6,1,5,7.9,48.3,5.7,-10614,8,159,ROBERT DOLE ,Ross Perot,40.7%,582315,39198755,South,6,-0.7,0.5,4,Oklahoma,,,Oklahoma,R,1206713,96277223,48.3,D,1996
MS,Hex,7,4,% shift to the left,Ross Perot:	,,ü,Bill Clinton,F,,Left,0,,44.1,3.3,-6236,,379,BILL CLINTON,Robert Dole ,49.2%,394022,47402357,6.5,6,5.8,,,● ,),%), (,ROSS PEROT,8.4%,52222,8085402,   ,"The election of 1996 was a contest between the Democratic ticket of President Bill Clinton of Arkansas and Vice President Al Gore and the Republican ticket of former Senator Bob Dole of Kansas for President and former Housing Secretary Jack Kemp of New York for Vice President. Businessman Ross Perot ran as candidate for the Reform Party; he received less media attention and was excluded from the presidential debates and, while still obtaining substantial results for a third-party candidate, by U.S. standards, did not renew his success in the 1992 election. Clinton benefited from an economy which recovered from the early 1990s recession, and a relatively stable world stage. President Clinton went on to win re-election with a substantial margin in the popular vote and electoral college.",8.900000000,R,49.7,1,5,5.1,49.2,-0.5,-47955,7,159,ROBERT DOLE ,Ross Perot,40.7%,439838,39198755,South,6,-3.8,0.5,6,Mississippi,,,Mississippi,R,893857,96277223,49.2,D,1996
AL,Hex,9,0,% shift to the right,Ross Perot:	,,ü,Bill Clinton,F,,Right,0,,43.2,2.3,-27915,,379,BILL CLINTON,Robert Dole ,49.2%,662165,47402357,7.5,6,6.0,,,● ,),%), (,ROSS PEROT,8.4%,92149,8085402,   ,"The election of 1996 was a contest between the Democratic ticket of President Bill Clinton of Arkansas and Vice President Al Gore and the Republican ticket of former Senator Bob Dole of Kansas for President and former Housing Secretary Jack Kemp of New York for Vice President. Businessman Ross Perot ran as candidate for the Reform Party; he received less media attention and was excluded from the presidential debates and, while still obtaining substantial results for a third-party candidate, by U.S. standards, did not renew his success in the 1992 election. Clinton benefited from an economy which recovered from the early 1990s recession, and a relatively stable world stage. President Clinton went on to win re-election with a substantial margin in the popular vote and electoral college.",6.7,R,47.6,1,5,6.9,50.1,2.5,-35239,9,159,ROBERT DOLE ,Ross Perot,40.7%,769044,39198755,South,6,0.2,-0.5,7,Alabama,,,Alabama,R,1534349,96277223,50.1,D,1996
TX,Hex,32,2,% shift to the right,Ross Perot:	,,ü,Bill Clinton,F,,Right,0,,43.8,6.7,177868,,379,BILL CLINTON,Robert Dole ,49.2%,2459683,47402357,4,7,6.7,,,● ,),%), (,ROSS PEROT,8.4%,378537,8085402,   ,"The election of 1996 was a contest between the Democratic ticket of President Bill Clinton of Arkansas and Vice President Al Gore and the Republican ticket of former Senator Bob Dole of Kansas for President and former Housing Secretary Jack Kemp of New York for Vice President. Businessman Ross Perot ran as candidate for the Reform Party; he received less media attention and was excluded from the presidential debates and, while still obtaining substantial results for a third-party candidate, by U.S. standards, did not renew his success in the 1992 election. Clinton benefited from an economy which recovered from the early 1990s recession, and a relatively stable world stage. President Clinton went on to win re-election with a substantial margin in the popular vote and electoral college.",3.5,R,40.6,1,5,5,48.8,8.2,240096,32,159,ROBERT DOLE ,Ross Perot,40.7%,2736167,39198755,South,7,1.5,-0.5,4,Texas,,,Texas,R,5611644,96277223,48.8,D,1996
MT,Hex,3,5,% shift to the right,Ross Perot:	,,ü,Bill Clinton,F,,Right,0,,41.3,3.7,13415,,379,BILL CLINTON,Robert Dole ,49.2%,167922,47402357,2.5,2,13.6,,,● ,),%), (,ROSS PEROT,8.4%,55229,8085402,   ,"The election of 1996 was a contest between the Democratic ticket of President Bill Clinton of Arkansas and Vice President Al Gore and the Republican ticket of former Senator Bob Dole of Kansas for President and former Housing Secretary Jack Kemp of New York for Vice President. Businessman Ross Perot ran as candidate for the Reform Party; he received less media attention and was excluded from the presidential debates and, while still obtaining substantial results for a third-party candidate, by U.S. standards, did not renew his success in the 1992 election. Clinton benefited from an economy which recovered from the early 1990s recession, and a relatively stable world stage. President Clinton went on to win re-election with a substantial margin in the popular vote and electoral college.",-2.5,D,-37.6,1,0,2.8,44.1,9,35445,3,159,ROBERT DOLE ,Ross Perot,40.7%,179652,39198755,West,2,5.3,-0.5,3,Montana,,,Montana,R,407261,96277223,44.1,D,1996
CO,Hex,8,6,% shift to the right,Ross Perot:	,,ü,Bill Clinton,F,,Right,0,,44.4,4.3,41471,,379,BILL CLINTON,Robert Dole ,49.2%,671152,47402357,3.5,4,6.6,,,● ,),%), (,ROSS PEROT,8.4%,99629,8085402,   ,"The election of 1996 was a contest between the Democratic ticket of President Bill Clinton of Arkansas and Vice President Al Gore and the Republican ticket of former Senator Bob Dole of Kansas for President and former Housing Secretary Jack Kemp of New York for Vice President. Businessman Ross Perot ran as candidate for the Reform Party; he received less media attention and was excluded from the presidential debates and, while still obtaining substantial results for a third-party candidate, by U.S. standards, did not renew his success in the 1992 election. Clinton benefited from an economy which recovered from the early 1990s recession, and a relatively stable world stage. President Clinton went on to win re-election with a substantial margin in the popular vote and electoral college.",-4.2,D,-40.1,1,0,1.4,45.8,9.9,128998,8,159,ROBERT DOLE ,Ross Perot,40.7%,691848,39198755,West,4,5.6,-0.5,3,Colorado,,,Colorado,R,1510704,96277223,45.8,D,1996
AK,Hex,3,8,% shift to the right,Ross Perot:	,,ü,Bill Clinton,G,,Right,0,,33.3,3,2086,,379,BILL CLINTON,Robert Dole ,49.2%,80380,47402357,0.5,0,10.9,,,● ,),%), (,ROSS PEROT,8.4%,26333,8085402,   ,"The election of 1996 was a contest between the Democratic ticket of President Bill Clinton of Arkansas and Vice President Al Gore and the Republican ticket of former Senator Bob Dole of Kansas for President and former Housing Secretary Jack Kemp of New York for Vice President. Businessman Ross Perot ran as candidate for the Reform Party; he received less media attention and was excluded from the presidential debates and, while still obtaining substantial results for a third-party candidate, by U.S. standards, did not renew his success in the 1992 election. Clinton benefited from an economy which recovered from the early 1990s recession, and a relatively stable world stage. President Clinton went on to win re-election with a substantial margin in the popular vote and electoral college.",9.2,R,39.5,1,15,17.5,50.8,11.3,20746,3,159,ROBERT DOLE ,Ross Perot,40.7%,122746,39198755,West,0,8.3,-0.5,0,Alaska,,,Alaska,R,241620,96277223,50.8,D,1996
ID,Hex,4,5,% shift to the right,Ross Perot:	,,ü,Bill Clinton,G,,Right,0,,33.6,5.2,28430,,379,BILL CLINTON,Robert Dole ,49.2%,165443,47402357,2,3,12.7,,,● ,),%), (,ROSS PEROT,8.4%,62518,8085402,   ,"The election of 1996 was a contest between the Democratic ticket of President Bill Clinton of Arkansas and Vice President Al Gore and the Republican ticket of former Senator Bob Dole of Kansas for President and former Housing Secretary Jack Kemp of New York for Vice President. Businessman Ross Perot ran as candidate for the Reform Party; he received less media attention and was excluded from the presidential debates and, while still obtaining substantial results for a third-party candidate, by U.S. standards, did not renew his success in the 1992 election. Clinton benefited from an economy which recovered from the early 1990s recession, and a relatively stable world stage. President Clinton went on to win re-election with a substantial margin in the popular vote and electoral college.",13.6,R,42,1,15,18.6,52.2,10.2,53950,4,159,ROBERT DOLE ,Ross Perot,40.7%,256595,39198755,West,2,5.0,-0.5,2,Idaho,,,Idaho,R,491719,96277223,52.2,D,1996
WY,Hex,3,7,% shift to the right,Ross Perot:	,,ü,Bill Clinton,G,,Right,0,,36.8,2.8,9774,,379,BILL CLINTON,Robert Dole ,49.2%,77934,47402357,3,3,12.3,,,● ,),%), (,ROSS PEROT,8.4%,25928,8085402,   ,"The election of 1996 was a contest between the Democratic ticket of President Bill Clinton of Arkansas and Vice President Al Gore and the Republican ticket of former Senator Bob Dole of Kansas for President and former Housing Secretary Jack Kemp of New York for Vice President. Businessman Ross Perot ran as candidate for the Reform Party; he received less media attention and was excluded from the presidential debates and, while still obtaining substantial results for a third-party candidate, by U.S. standards, did not renew his success in the 1992 election. Clinton benefited from an economy which recovered from the early 1990s recession, and a relatively stable world stage. President Clinton went on to win re-election with a substantial margin in the popular vote and electoral college.",5.6,R,39.6,1,10,13,49.8,10.2,26041,3,159,ROBERT DOLE ,Ross Perot,40.7%,105388,39198755,West,3,7.4,-0.5,3,Wyoming,,,Wyoming,R,211571,96277223,49.8,D,1996
UT,Hex,5,2,% shift to the right,Ross Perot:	,,ü,Bill Clinton,H,,Right,0,,33.3,8.6,38204,,379,BILL CLINTON,Robert Dole ,49.2%,221633,47402357,4,5,10.0,,,● ,),%), (,ROSS PEROT,8.4%,66461,8085402,   ,"The election of 1996 was a contest between the Democratic ticket of President Bill Clinton of Arkansas and Vice President Al Gore and the Republican ticket of former Senator Bob Dole of Kansas for President and former Housing Secretary Jack Kemp of New York for Vice President. Businessman Ross Perot ran as candidate for the Reform Party; he received less media attention and was excluded from the presidential debates and, while still obtaining substantial results for a third-party candidate, by U.S. standards, did not renew his success in the 1992 election. Clinton benefited from an economy which recovered from the early 1990s recession, and a relatively stable world stage. President Clinton went on to win re-election with a substantial margin in the popular vote and electoral college.",18.7,R,43.4,1,20,21.1,54.4,11,39279,5,159,ROBERT DOLE ,Ross Perot,40.7%,361911,39198755,West,4,2.4,-0.5,2,Utah,,,Utah,R,665629,96277223,54.4,D,1996
